Type of election,Year,State,Constituency no,Constituency name,Constituency type,Turnout,Candidate name,Party/Alliance
Lok Sabha,2014,MADHYA PRADESH,610,REWA,GEN,53.73,JANARDAN MISRA,BJP
Lok Sabha,2014,UTTAR PRADESH,613,ROBERTSGANJ,SC,54.03,CHHOTE LAL,BJP
Lok Sabha,2014,HARYANA,782,ROHTAK,GEN,66.62,DEEPENDER SINGH,INC
Lok Sabha,2014,GUJARAT,587,SABARKANTHA,GEN,67.7,DIPSINH SHANKARSINH RATHOD,BJP
Lok Sabha,2014,MADHYA PRADESH,586,SAGAR,GEN,58.67,LAXMI NARAYAN YADAV,BJP
Lok Sabha,2014,UTTAR PRADESH,800,SAHARANPUR,GEN,74.23,RAGHAV LAKHANPAL,BJP
Lok Sabha,2014,TAMIL NADU,341,SALEM,GEN,76.77,PANNERSELVAM V.,AIADMK
Lok Sabha,2014,UTTAR PRADESH,676,SALEMPUR,GEN,51.44,RAVINDRA KUSHWAHA,BJP
Lok Sabha,2014,BIHAR,657,SAMASTIPUR,SC,57.43,RAM CHANDRA PASWAN,LJP
Lok Sabha,2014,ORISSA,507,SAMBALPUR,GEN,75.89,NAGENDRA KUMAR PRADHAN,BJD
Lok Sabha,2014,UTTAR PRADESH,777,SAMBHAL,GEN,62.42,SATYA PAL SINGH,BJP
Lok Sabha,2014,MAHARASHTRA,412,SANGLI,GEN,63.47,SANJAYKAKA PATIL,BJP
Lok Sabha,2014,PUNJAB,802,SANGRUR,GEN,77.17,BHAGWANT MANN,AAP
Lok Sabha,2014,UTTAR PRADESH,716,SANT KABIR NAGAR,GEN,53.12,SHARAD TRIPATHI,BJP
Lok Sabha,2014,BIHAR,656,SARAN,GEN,56.1,RAJIV PRATAP RUDY,BJP
Lok Sabha,2014,BIHAR,619,SASARAM,SC,52.67,CHHEDI PASWAN,BJP
Lok Sabha,2014,MAHARASHTRA,421,SATARA,GEN,56.78,SHRIMANT CHH. UDAYANRAJE PRATAPSINHA BHONSALE,NCP
Lok Sabha,2014,MADHYA PRADESH,609,SATNA,GEN,62.65,GANESH SINGH,BJP
Lok Sabha,2014,ANDHRA PRADESH,407,SECUNDERABAD,GEN,53.01,BANDARU DATTATREYA,BJP
Lok Sabha,2014,MADHYA PRADESH,578,SHAHDOL,ST,62.03,DALPAT SINGH PARASTE,BJP
Lok Sabha,2014,UTTAR PRADESH,757,SHAHJAHANPUR,SC,57.08,KRISHNA RAJ,BJP
Lok Sabha,2014,BIHAR,173,SHEOHAR,GEN,56.58,RAMA DEVI,BJP
Lok Sabha,2014,MEGHALAYA,658,SHILLONG,ST,63.22,VINCENT H. PALA,INC
Lok Sabha,2014,HIMACHAL PRADESH,813,SHIMLA,SC,63.97,VIRENDER KASHYAP,BJP
Lok Sabha,2014,KARNATAKA,372,SHIMOGA,GEN,72.27,B.S. YEDDYURAPPA,BJP
Lok Sabha,2014,MAHARASHTRA,459,SHIRDI,SC,63.89,LOKHANDE SADASHIV KISAN,SHS
Lok Sabha,2014,MAHARASHTRA,449,SHIRUR,GEN,59.73,ADHALRAO SHIVAJI DATTATREY,SHS
Lok Sabha,2014,UTTAR PRADESH,745,SHRAWASTI,GEN,54.79,DADDAN MISHRA,BJP
Lok Sabha,2014,MADHYA PRADESH,598,SIDHI,GEN,56.99,RITI PATHAK,BJP
Lok Sabha,2014,RAJASTHAN,744,SIKAR,GEN,60.2,SWAMI SUMEDHA NAND SARASWATI,BJP
Lok Sabha,2014,SIKKIM,752,SIKKIM,GEN,83.37,PREM DAS RAI,SDF
Lok Sabha,2014,ASSAM,608,SILCHAR,GEN,75.44,SUSHMITA DEV,INC
Lok Sabha,2014,JHARKHAND,536,SINGHBHUM,ST,69,LAXMAN GILUA,BJP
Lok Sabha,2014,HARYANA,795,SIRSA,SC,77.03,CHARANJEET SINGH RORI,INLD
Lok Sabha,2014,BIHAR,699,SITAMARHI,GEN,57.18,RAM KUMAR SHARMA,Rashtriya Lok Samta Party
Lok Sabha,2014,UTTAR PRADESH,742,SITAPUR,GEN,66.25,RAJESH KUMAR SINGH,BJP
Lok Sabha,2014,TAMIL NADU,318,SIVAGANGA,GEN,72.72,PR SENTHILNATHAN,AIADMK
Lok Sabha,2014,BIHAR,669,SIWAN,GEN,56.53,OM PRAKASH YADAV,BJP
Lok Sabha,2014,MAHARASHTRA,417,SOLAPUR,SC,55.86,SHARADKUMAR MARUTI BANSODE,BJP
Lok Sabha,2014,HARYANA,788,SONIPAT,GEN,69.55,RAMESH KAUSHIK,BJP
Lok Sabha,2014,NATIONAL CAPITAL TERRITORY OF DELHI,764,SOUTH DELHI,GEN,62.9,RAMESH BIDHURI,BJP
Lok Sabha,2014,GOA,380,SOUTH GOA,GEN,75.25,ADV. NARENDRA KESHAV SAWAIKAR,BJP
Lok Sabha,2014,WEST BENGAL,534,SREERAMPUR,GEN,79.46,KALYAN BANERJEE,AITC
Lok Sabha,2014,ANDHRA PRADESH,439,SRIKAKULAM,GEN,74.36,RAMMOHANNAIDU KINJARAPU,TDP
Lok Sabha,2014,JAMMU & KASHMIR,826,SRINAGAR,GEN,25.9,TARIQ HAMEED KARRA,JKPDP
