Type of election,Year,State,Constituency no,Constituency name,Constituency type,Turnout,Candidate name,Party/Alliance
Lok Sabha,2014,GUJARAT,491,BARDOLI,ST,74.73,PARBHUBHAI NAGARBHAI VASAVA,BJP
Lok Sabha,2014,UTTAR PRADESH,773,BAREILLY,GEN,61.17,SANTOSH KUMAR GANGWAR,BJP
Lok Sabha,2014,ORISSA,502,BARGARH,GEN,78.51,PRABHAS KUMAR SINGH,BJD
Lok Sabha,2014,RAJASTHAN,751,BARMER,GEN,72.67,COL. SONARAM CHOUDHARY,BJP
Lok Sabha,2014,ASSAM,686,BARPETA,GEN,84.32,SIRAJ UDDIN AJMAL,AIUDF
Lok Sabha,2014,WEST BENGAL,540,BARRACKPUR,GEN,81.66,DINESH TRIVEDI,AITC
Lok Sabha,2014,WEST BENGAL,535,BASIRHAT,GEN,85.45,IDRIS ALI,AITC
Lok Sabha,2014,CHHATTISGARH,456,BASTAR,ST,59.31,DINESH KASHYAP,BJP
Lok Sabha,2014,UTTAR PRADESH,719,BASTI,GEN,56.75,HARISH CHANDRA,BJP
Lok Sabha,2014,PUNJAB,801,BATHINDA,GEN,77.15,HARSIMRAT KAUR BADAL,SAD
Lok Sabha,2014,MAHARASHTRA,450,BEED,GEN,68.74,MUNDE GOPINATHRAO PANDURANG,BJP
Lok Sabha,2014,BIHAR,642,BEGUSARAI,GEN,60.6,BHOLA SINGH,BJP
Lok Sabha,2014,KARNATAKA,390,BELGAUM,GEN,68.22,SURESH ANGADI,BJP
Lok Sabha,2014,KARNATAKA,379,BELLARY,ST,70.28,B. SREERAMULU,BJP
Lok Sabha,2014,ORISSA,452,BERHAMPUR,GEN,67.85,SIDHANT MOHAPATRA,BJD
Lok Sabha,2014,MADHYA PRADESH,519,BETUL,ST,65.16,JYOTI DHURVE,BJP
Lok Sabha,2014,UTTAR PRADESH,634,BHADOHI,GEN,53.5,VIRENDRA SINGH,BJP
Lok Sabha,2014,ORISSA,487,BHADRAK,SC,73.59,ARJUN CHARAN SETHI,BJD
Lok Sabha,2014,BIHAR,625,BHAGALPUR,GEN,57.79,SHAILESH KUMAR ALIAS BULO MANDAL,RJD
Lok Sabha,2014,MAHARASHTRA,493,BHANDARA-GONDIYA,GEN,72.28,NANABHAU FALGUNRAO PATOLE,BJP
Lok Sabha,2014,RAJASTHAN,741,BHARATPUR,SC,57.05,BAHADUR SINGH,BJP
Lok Sabha,2014,GUJARAT,508,BHARUCH,GEN,74.79,MANSUKHBHAI DHANJIBHAI VASAVA,BJP
Lok Sabha,2014,GUJARAT,510,BHAVNAGAR,GEN,57.53,DR. BHARTIBEN DHIRUBHAI SHIYAL,BJP
Lok Sabha,2014,RAJASTHAN,653,BHILWARA,GEN,62.92,SUBHASH CHANDRA BAHERIYA,BJP
Lok Sabha,2014,MADHYA PRADESH,695,BHIND,SC,45.62,BHAGIRAT PRASAD,BJP
Lok Sabha,2014,MAHARASHTRA,453,BHIWANDI,GEN,51.61,KAPIL MORESHWAR PATIL,BJP
Lok Sabha,2014,HARYANA,778,BHIWANI-MAHENDRAGARH,GEN,69.91,DHARAMBIR,BJP
Lok Sabha,2014,ANDHRA PRADESH,418,BHONGIR,GEN,81.22,DR. NARSAIAH BOORA,TRS
Lok Sabha,2014,MADHYA PRADESH,570,BHOPAL,GEN,57.75,ALOK SANJAR,BJP
Lok Sabha,2014,ORISSA,467,BHUBANESWAR,GEN,58.37,PRASANNA KUMAR PATASANI,BJD
Lok Sabha,2014,KARNATAKA,423,BIDAR,GEN,59.93,BHAGWANT MANN,BJP
Lok Sabha,2014,KARNATAKA,408,BIJAPUR,SC,59.58,RAMESH JIGAJINAGI,BJP
Lok Sabha,2014,UTTAR PRADESH,792,BIJNOR,GEN,67.88,KUNWAR BHARTENDRA SINGH,BJP
Lok Sabha,2014,RAJASTHAN,784,BIKANER,SC,58.44,ARJUN RAM MEGHWAL,BJP
Lok Sabha,2014,CHHATTISGARH,527,BILASPUR,GEN,63.13,LAKHANLAL SAHU S/O KALYAN LAL SAHU,BJP
Lok Sabha,2014,WEST BENGAL,592,BIRBHUM,GEN,85.33,SATABDI ROY BANERJEE,AITC
Lok Sabha,2014,WEST BENGAL,558,BISHNUPUR,SC,86.72,SAUMITRA KHAN,AITC
Lok Sabha,2014,ORISSA,479,BOLANGIR,GEN,74.88,KALIKESH NARAYAN SINGH DEO,BJD
Lok Sabha,2014,WEST BENGAL,581,BOLPUR,SC,84.81,ANUPAM HAZRA,AITC
Lok Sabha,2014,UTTAR PRADESH,770,BULANDSHAHR,SC,58.15,DR. BHOLA SINGH,BJP
Lok Sabha,2014,MAHARASHTRA,484,BULDHANA,GEN,61.31,JADHAV PRATAPRAO GANPATRAO,SHS
Lok Sabha,2014,BIHAR,639,BUXAR,GEN,54.14,ASHWINI KUMAR CHOUBEY,BJP
Lok Sabha,2014,KERALA,317,CHALAKUDY,GEN,76.84,INNOCENT,IND
Lok Sabha,2014,KARNATAKA,345,CHAMARAJANAGAR,SC,72.83,R. DHRUVANARAYANA,INC
Lok Sabha,2014,UTTAR PRADESH,631,CHANDAULI,GEN,58.75,MAHENDRA NATH PANDEY,BJP
Lok Sabha,2014,CHANDIGARH,805,CHANDIGARH,GEN,73.71,KIRRON KHER,BJP
Lok Sabha,2014,NATIONAL CAPITAL TERRITORY OF DELHI,771,CHANDNI CHOWK,GEN,67.84,DR. HARSH VARDHAN,BJP
Lok Sabha,2014,MAHARASHTRA,468,CHANDRAPUR,GEN,63.28,AHIR HANSARAJ GANGARAM,BJP
Lok Sabha,2014,JHARKHAND,590,CHATRA,GEN,54.32,SUNIL KUMAR SINGH,BJP
Lok Sabha,2014,TAMIL NADU,358,CHENNAI CENTRAL,GEN,61.36,S.R. VIJAY KUMAR,AIADMK
Lok Sabha,2014,TAMIL NADU,361,CHENNAI NORTH,GEN,63.99,VENKATESH BABU T.G,AIADMK
Lok Sabha,2014,TAMIL NADU,354,CHENNAI SOUTH,GEN,60.21,DR. J. JAYAVARDHAN,AIADMK
Lok Sabha,2014,ANDHRA PRADESH,413,CHEVELLA,GEN,60.22,KONDA VISHWESHWAR REDDY,TRS
Lok Sabha,2014,MADHYA PRADESH,533,CHHINDWARA,GEN,79.03,KAMAL NATH,INC
Lok Sabha,2014,GUJARAT,520,CHHOTA UDAIPUR,ST,71.64,RATHWA RAMSINGBHAI PATALBHAI,BJP
Lok Sabha,2014,TAMIL NADU,334,CHIDAMBARAM,SC,79.67,M. CHANDRAKASI,AIADMK
Lok Sabha,2014,KARNATAKA,369,CHIKKBALLAPUR,GEN,76.18,M. VEERAPPA MOILY,INC
Lok Sabha,2014,KARNATAKA,398,CHIKKODI,GEN,74.26,PRAKASH HUKKERI,INC
Lok Sabha,2014,KARNATAKA,375,CHITRADURGA,SC,66,B.N. CHANDRAPPA,INC
Lok Sabha,2014,ANDHRA PRADESH,366,CHITTOOR,SC,82.56,NARAMALLI SIVAPRASAD,TDP
Lok Sabha,2014,RAJASTHAN,116,CHITTORGARH,GEN,64.5,CHANDRA PRAKASH,BJP
Lok Sabha,2014,RAJASTHAN,786,CHURU,GEN,64.49,RAHUL KASWAN,BJP
Lok Sabha,2014,TAMIL NADU,328,COIMBATORE,GEN,68.4,NAGARAJAN P.,AIADMK
Lok Sabha,2014,WEST BENGAL,680,COOCHBEHAR,SC,82.58,RENUKA SINHA,AITC
Lok Sabha,2014,TAMIL NADU,175,CUDDALORE,GEN,78.9,A. ARUNMOZHITHEVAN,AIADMK
Lok Sabha,2014,ORISSA,471,CUTTACK,GEN,71.35,BHARTRUHARI MAHATAB,BJD
Lok Sabha,2014,DADRA & NAGAR HAVELI,465,DADRA & NAGAR HAVELI,ST,84.06,NATUBHAI G. PATEL,BJP
Lok Sabha,2014,GUJARAT,556,DAHOD,ST,63.78,BHABHOR JASVANTSINH SUMANBHAI,BJP
Lok Sabha,2014,KARNATAKA,359,DAKSHINA KANNADA,GEN,77.14,NALIN KUMAR KATEEL,BJP
Lok Sabha,2014,DAMAN & DIU,170,DAMAN & DIU,GEN,78.01,PATEL LALUBHAI BABUBHAI,BJP
Lok Sabha,2014,MADHYA PRADESH,600,DAMOH,GEN,55.24,PRAHLAD SINGH PATEL,BJP
Lok Sabha,2014,BIHAR,664,DARBHANGA,GEN,55.39,KIRTI AZAD,BJP
Lok Sabha,2014,WEST BENGAL,720,DARJEELING,GEN,79.46,SURENDRAJEET SINGH AHLUWALIA,BJP
Lok Sabha,2014,RAJASTHAN,733,DAUSA,ST,61.05,HARISH CHANDRA,BJP
Lok Sabha,2014,KARNATAKA,374,DAVANAGERE,GEN,73.22,G.M. SIDDESWARA,BJP
Lok Sabha,2014,UTTAR PRADESH,701,DEORIA,GEN,53.77,KALRAJ MISHRA,BJP
Lok Sabha,2014,MADHYA PRADESH,575,DEWAS,SC,70.74,MANOHAR UNTWAL,BJP
Lok Sabha,2014,JHARKHAND,576,DHANBAD,GEN,60.52,PASHUPATI NATH SINGH,BJP
Lok Sabha,2014,MADHYA PRADESH,545,DHAR,ST,64.54,SAVITRI THAKUR,BJP
Lok Sabha,2014,TAMIL NADU,346,DHARMAPURI,GEN,81.08,ANBUMANI RAMADOSS,Pattali Makkal Katchi
Lok Sabha,2014,KARNATAKA,381,DHARWAD,GEN,65.94,PRALHAD JOSHI,BJP
Lok Sabha,2014,UTTAR PRADESH,753,DHAURAHRA,GEN,68.05,REKHA ARUN VERMA,BJP
Lok Sabha,2014,ORISSA,494,DHENKANAL,GEN,76.43,TATHAGATA SATPATHY,BJD
Lok Sabha,2014,ASSAM,670,DHUBRI,GEN,88.22,BADRUDDIN AJMAL,AIUDF
Lok Sabha,2014,MAHARASHTRA,486,DHULE,GEN,58.71,SUBHASH RAMRAO BHAMRE,BJP
Lok Sabha,2014,WEST BENGAL,517,DIAMOND HARBOUR,GEN,81.06,ABHISHEK BANERJEE,AITC
Lok Sabha,2014,ASSAM,737,DIBRUGARH,GEN,79.25,RAMESHWAR TELI,BJP
Lok Sabha,2014,TAMIL NADU,320,DINDIGUL,GEN,77.35,UDHAYA KUMAR .M,AIADMK
Lok Sabha,2014,MAHARASHTRA,473,DINDORI,ST,63.4,CHAVAN HARISHCHANDRA DEORAM,BJP
Lok Sabha,2014,UTTAR PRADESH,730,DOMARIYAGANJ,GEN,53.08,JAGDAMBIKA PAL,BJP
Lok Sabha,2014,WEST BENGAL,531,DUM DUM,GEN,80.56,SAUGATA ROY,AITC
Lok Sabha,2014,JHARKHAND,593,DUMKA,ST,72.41,SHIBU SOREN,JMM
Lok Sabha,2014,CHHATTISGARH,500,DURG,GEN,67.81,TAMRADWAJ SAHU,INC
Lok Sabha,2014,NATIONAL CAPITAL TERRITORY OF DELHI,768,EAST DELHI,GEN,65.39,MAHESH GIRI,BJP
Lok Sabha,2014,ANDHRA PRADESH,409,ELURU,GEN,84.17,MAGANTI VENKATESWARA RAO (BABU),TDP
Lok Sabha,2014,KERALA,316,ERNAKULAM,GEN,73.57,K.V. THOMAS,INC
Lok Sabha,2014,TAMIL NADU,332,ERODE,GEN,76.33,SELVAKUMARA CHINNAYAN S,AIADMK
Lok Sabha,2014,UTTAR PRADESH,750,ETAH,GEN,58.72,RAJVIR SINGH,BJP
Lok Sabha,2014,UTTAR PRADESH,700,ETAWAH,SC,55.04,ASHOK KUMAR DOHAREY,BJP
Lok Sabha,2014,UTTAR PRADESH,712,FAIZABAD,GEN,58.82,LALLU SINGH,BJP
Lok Sabha,2014,HARYANA,759,FARIDABAD,GEN,64.97,KRISHAN PAL,BJP
Lok Sabha,2014,PUNJAB,810,FARIDKOT,SC,70.93,PROF. SADHU SINGH,AAP
Lok Sabha,2014,UTTAR PRADESH,739,FARRUKHABAD,GEN,60.15,MUKESH RAJPUT,BJP
Lok Sabha,2014,PUNJAB,808,FATEHGARH SAHIB,SC,73.8,HARINDER SINGH KHALSA,AAP
Lok Sabha,2014,UTTAR PRADESH,663,FATEHPUR,GEN,58.55,SADHVI NIRANJAN JYOTI,BJP
Lok Sabha,2014,UTTAR PRADESH,723,FATEHPUR SIKRI,GEN,61.24,BABU LAL,BJP
Lok Sabha,2014,UTTAR PRADESH,732,FIROZABAD,GEN,67.49,AKSHAY YADAV,SP
Lok Sabha,2014,PUNJAB,811,FIROZPUR,GEN,72.62,SHER SINGH GHUBAYA,SAD
Lok Sabha,2014,MAHARASHTRA,489,GADCHIROLI-CHIMUR,ST,69.88,ASHOK MAHADEORAO NETE,BJP
Lok Sabha,2014,GUJARAT,554,GANDHINAGAR,GEN,65.49,LAL KRISHNA ADVANI,BJP
Lok Sabha,2014,RAJASTHAN,113,GANGANAGAR,SC,73.14,NIHALCHAND,BJP
Lok Sabha,2014,UTTARAKHAND,809,GARHWAL,GEN,53.74,MAJ. GEN. ( RETD) BHUWAN CHANDRA KHANDURI (AVSM),BJP
Lok Sabha,2014,ASSAM,674,GAUHATI,GEN,78.64,BIJOYA CHAKRAVARTY,BJP
Lok Sabha,2014,UTTAR PRADESH,765,GAUTAM BUDHHA NAGAR,GEN,60.38,MAHESH SHARMA,BJP
Lok Sabha,2014,BIHAR,605,GAYA,SC,53.93,HARI MANJHI,BJP
Lok Sabha,2014,WEST BENGAL,530,GHATAL,GEN,84.86,DEEPAK ADHIKARI (DEV),AITC
Lok Sabha,2014,UTTAR PRADESH,774,GHAZIABAD,GEN,56.94,VIJAY KUMAR SINGH,BJP
Lok Sabha,2014,UTTAR PRADESH,645,GHAZIPUR,GEN,54.77,MANOJ SINHA,BJP
Lok Sabha,2014,UTTAR PRADESH,665,GHOSI,GEN,54.98,HARINARAYAN RAJBHAR,BJP
Lok Sabha,2014,JHARKHAND,583,GIRIDIH,GEN,64.02,RAVINDRA KUMAR PANDEY,BJP
Lok Sabha,2014,JHARKHAND,611,GODDA,GEN,65.98,NISHIKANT DUBEY,BJP
Lok Sabha,2014,UTTAR PRADESH,727,GONDA,GEN,51.07,KIRTI VARDHAN SINGH  ALIAS RAJA BHAIYA,BJP
Lok Sabha,2014,BIHAR,688,GOPALGANJ,SC,54.67,JANAK RAM,BJP
Lok Sabha,2014,UTTAR PRADESH,718,GORAKHPUR,GEN,54.62,YOGI ADITYANATH,BJP
Lok Sabha,2014,KARNATAKA,414,GULBARGA,SC,57.94,MALLIKARJUN KHARGE,INC
Lok Sabha,2014,MADHYA PRADESH,626,GUNA,GEN,60.83,JYOTIRADITYA MADHAVRAO SCINDIA,INC
Lok Sabha,2014,ANDHRA PRADESH,391,GUNTUR,GEN,79.19,JAYADEV GALLA,TDP
Lok Sabha,2014,PUNJAB,820,GURDASPUR,GEN,69.5,VINOD KHANNA,BJP
Lok Sabha,2014,HARYANA,762,GURGAON,GEN,71.55,INDERJIT SINGH,BJP
Lok Sabha,2014,MADHYA PRADESH,668,GWALIOR,GEN,52.79,NARENDRA SIGH TOMAR,BJP
Lok Sabha,2014,BIHAR,651,HAJIPUR,SC,54.85,RAM VILAS PASWAN,LJP
Lok Sabha,2014,HIMACHAL PRADESH,819,HAMIRPUR,GEN,66.94,ANURAG SINGH THAKUR,BJP
Lok Sabha,2014,UTTAR PRADESH,660,HAMIRPUR,GEN,56.11,KUNWAR PUSHPENDRA SINGH,BJP
Lok Sabha,2014,UTTAR PRADESH,740,HARDOI,SC,56.75,ANSHUL VERMA,BJP
Lok Sabha,2014,UTTARAKHAND,799,HARDWAR,GEN,71.56,RAMESH POKHARIYAL NISHANK,BJP
Lok Sabha,2014,KARNATAKA,365,HASSAN,GEN,73.47,H.D. DEVEGOWDA,JD(S)
Lok Sabha,2014,UTTAR PRADESH,749,HATHRAS,SC,59.65,RAJESH KUMAR,BJP
Lok Sabha,2014,MAHARASHTRA,404,HATKANANGLE,GEN,72.91,RAJU SHETTY,Swabhimani Paksha
Lok Sabha,2014,KARNATAKA,383,HAVERI,GEN,71.59,UDASI SHIVAKUMAR CHANNABASAPPA,BJP
Lok Sabha,2014,JHARKHAND,591,HAZARIBAGH,GEN,63.68,JAYANT SINHA,BJP
Lok Sabha,2014,ANDHRA PRADESH,373,HINDUPUR,GEN,81.39,KRISTAPPA NIMMALA,TDP
Lok Sabha,2014,MAHARASHTRA,460,HINGOLI,GEN,66.27,RAJEEV SHANKARRAO SATAV,INC
Lok Sabha,2014,HARYANA,789,HISAR,GEN,76.17,DUSHYANT CHAUTALA,INLD
Lok Sabha,2014,WEST BENGAL,548,HOOGHLY,GEN,82.75,DR. RATNA DE (NAG),AITC
Lok Sabha,2014,MADHYA PRADESH,551,HOSHANGABAD,GEN,65.76,UDAY PRATAP SINGH,BJP
Lok Sabha,2014,PUNJAB,818,HOSHIARPUR,SC,64.72,VIJAY SAMPLA,BJP
Lok Sabha,2014,WEST BENGAL,525,HOWRAH,GEN,74.77,PRASUN BANERJEE,AITC
Lok Sabha,2014,ANDHRA PRADESH,406,HYDERABAD,GEN,53.27,ASADUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen
Lok Sabha,2014,KERALA,312,IDUKKI,GEN,70.75,ADV. JOICE GEORGE,IND
Lok Sabha,2014,MADHYA PRADESH,544,INDORE,GEN,62.25,SUMITRA MAHAJAN,BJP
Lok Sabha,2014,MANIPUR,604,INNER MANIPUR,GEN,74.92,DR. THOKCHOM MEINYA,INC
Lok Sabha,2014,MADHYA PRADESH,562,JABALPUR,GEN,58.55,RAKESH SINGH ALIAS GHANSHYAM SINGH,BJP
Lok Sabha,2014,WEST BENGAL,522,JADAVPUR,GEN,79.73,SUGATA BOSE,AITC
Lok Sabha,2014,ORISSA,466,JAGATSINGHPUR,SC,75.48,KULAMANI SAMAL,BJD
Lok Sabha,2014,BIHAR,620,JAHANABAD,GEN,57.02,DR. ARUN KUMAR,Rashtriya Lok Samta Party
Lok Sabha,2014,RAJASTHAN,710,JAIPUR,GEN,66.24,RAMCHARAN BOHARA,BJP
Lok Sabha,2014,RAJASTHAN,743,JAIPUR RURAL,GEN,59.65,RAJYAVARDHAN SINGH RATHORE,BJP
Lok Sabha,2014,ORISSA,478,JAJPUR,SC,75.2,RITA TARAI,BJD
Lok Sabha,2014,PUNJAB,815,JALANDHAR,SC,67.08,SANTOKH SINGH CHAUDHARY,INC
Lok Sabha,2014,UTTAR PRADESH,675,JALAUN,SC,58.27,BHANU PRATAP SINGH VARMA,BJP
Lok Sabha,2014,MAHARASHTRA,482,JALGAON,GEN,57.98,ASHOK TAPIRAM PATIL,BJP
Lok Sabha,2014,MAHARASHTRA,470,JALNA,GEN,66.14,DANVE RAOSAHEB DADARAO PATIL,BJP
Lok Sabha,2014,RAJASTHAN,643,JALORE,GEN,59.58,DEVJI PATEL,BJP
Lok Sabha,2014,WEST BENGAL,706,JALPAIGURI,SC,85.02,BIJOY CHANDRA BARMAN,AITC
Lok Sabha,2014,JAMMU & KASHMIR,823,JAMMU,GEN,67.83,JUGAL KISHORE SHARMA,BJP
Lok Sabha,2014,GUJARAT,538,JAMNAGAR,GEN,57.97,MADAM POONAMBEN HEMATBHAI,BJP
Lok Sabha,2014,JHARKHAND,541,JAMSHEDPUR,GEN,66.33,BIDYUT BARAN MAHATO,BJP
Lok Sabha,2014,BIHAR,612,JAMUI,SC,50.01,CHIRAG KUMAR PASWAN,LJP
Lok Sabha,2014,WEST BENGAL,595,JANGIPUR,GEN,80.41,ABHIJIT MUKHERJEE,INC
Lok Sabha,2014,CHHATTISGARH,509,JANJGIR-CHAMPA,SC,61.77,KAMLA PATLE,BJP
Lok Sabha,2014,UTTAR PRADESH,662,JAUNPUR,GEN,54.47,KRISHNA PRATAP,BJP
Lok Sabha,2014,WEST BENGAL,29,JAYNAGAR,SC,68.65,PRATIMA MONDAL,AITC
Lok Sabha,2014,RAJASTHAN,623,JHALAWAR-BARAN,GEN,57.02,DUSHYANT CHAUTALA,BJP
Lok Sabha,2014,BIHAR,691,JHANJHARPUR,GEN,68.36,BIRENDRA KUMAR CHAUDHARY,BJP
Lok Sabha,2014,UTTAR PRADESH,636,JHANSI,GEN,85.26,UMA BHARTI,BJP
Lok Sabha,2014,WEST BENGAL,546,JHARGRAM,ST,59.32,UMA SAREN,AITC
Lok Sabha,2014,RAJASTHAN,761,JHUNJHUNU,GEN,62.44,SANTOSH AHLAWAT,BJP
Lok Sabha,2014,RAJASTHAN,746,JODHPUR,GEN,75.45,GAJENDRA SINGH SHEKHAWAT ,BJP
Lok Sabha,2014,ASSAM,722,JORHAT,GEN,81.31,KAMAKHYA PRASAD TASA,BJP
Lok Sabha,2014,GUJARAT,495,JUNAGADH,GEN,63.37,CHUDASAMA RAJESHBHAI NARANBHAI,BJP
Lok Sabha,2014,GUJARAT,161,KACHCHH,SC,61.69,CHAVDA VINOD LAKHMASHI,BJP
Lok Sabha,2014,ANDHRA PRADESH,376,KADAPA,GEN,77.43,AVINASH REDDY YEDUGURI SANDINTI,Yuvajana Sramika Rythu Congress Party
Lok Sabha,2014,UTTAR PRADESH,797,KAIRANA,GEN,73.07,HUKUM SINGH ,BJP
Lok Sabha,2014,UTTAR PRADESH,731,KAISERGANJ,GEN,55.1,BRIJBHUSHAN SHARAN SINGH,BJP
Lok Sabha,2014,ANDHRA PRADESH,410,KAKINADA,GEN,77.56,THOTA VENKATA NARASIMHAM,TDP
Lok Sabha,2014,ORISSA,477,KALAHANDI,GEN,75.81,ARKA KESHARI DEO,BJD
Lok Sabha,2014,ASSAM,697,KALIABOR,GEN,80.01,GOURAV GOGOI,INC
Lok Sabha,2014,TAMIL NADU,342,KALLAKURICHI,GEN,78.39,K. KAMARAJ,AIADMK
Lok Sabha,2014,MAHARASHTRA,447,KALYAN,GEN,42.88,DR. SHRIKANT EKNATH SHINDE,SHS
Lok Sabha,2014,TAMIL NADU,351,KANCHEEPURAM,SC,76.24,MARAGATHAM K,AIADMK
Lok Sabha,2014,ORISSA,475,KANDHAMAL,GEN,73.4,HEMENDRA CHANDRA SINGH,BJD
Lok Sabha,2014,HIMACHAL PRADESH,821,KANGRA,GEN,63.52,SHANTA KUMAR,BJP
Lok Sabha,2014,CHHATTISGARH,476,KANKER,ST,70.24,VIKRAM USENDI,BJP
Lok Sabha,2014,UTTAR PRADESH,721,KANNAUJ,GEN,61.61,DIMPLE YADAV,SP
Lok Sabha,2014,TAMIL NADU,300,KANNIYAKUMARI,GEN,67.5,RADHAKRISHNAN P.,BJP
Lok Sabha,2014,KERALA,343,KANNUR,GEN,80.93,P.K. SREEMATHI,CPI(M)
Lok Sabha,2014,UTTAR PRADESH,678,KANPUR,GEN,51.83,DR. MURLI MANOHAR JOSHI,BJP
Lok Sabha,2014,WEST BENGAL,506,KANTHI,GEN,86.61,SISIR KUMAR ADHIKARI,AITC
Lok Sabha,2014,BIHAR,617,KARAKAT,GEN,50.31,UPENDRA KUSHWAHA,Rashtriya Lok Samta Party
Lok Sabha,2014,RAJASTHAN,709,KARAULI-DHOLPUR,SC,54.59,MANOJ RAJORIA,BJP
Lok Sabha,2014,ASSAM,602,KARIMGANJ,SC,76.07,RADHESHYAM BISWAS,AIUDF
Lok Sabha,2014,ANDHRA PRADESH,433,KARIMNAGAR,GEN,72.59,VINOD KUMAR BOINAPALLY,TRS
Lok Sabha,2014,HARYANA,796,KARNAL,GEN,70.86,ASHWINI KUMAR,BJP
Lok Sabha,2014,TAMIL NADU,327,KARUR,GEN,80.61,THAMBITHURAI M.,AIADMK
Lok Sabha,2014,KERALA,154,KASARAGOD,GEN,78.33,P. KARUNAKARAN,CPI(M)
Lok Sabha,2014,BIHAR,647,KATIHAR,GEN,67.6,SHAH TARIQUE ANWAR,NCP
Lok Sabha,2014,UTTAR PRADESH,652,KAUSHAMBI,SC,52.33,VINOD KUMAR SONKAR,BJP
Lok Sabha,2014,ORISSA,474,KENDRAPARA,GEN,73.36,SRI BAIJAYANT PANDA,BJD
Lok Sabha,2014,ORISSA,505,KEONJHAR,ST,80.48,SAKUNTALA LAGURI,BJD
Lok Sabha,2014,PUNJAB,816,KHADOOR SAHIB,GEN,66.56,RANJIT SINGH BRAHMPURA,SAD
Lok Sabha,2014,BIHAR,648,KHAGARIA,GEN,60.07,CHOUDHARY MAHBOOB ALI KAISER,LJP
Lok Sabha,2014,MADHYA PRADESH,133,KHAJURAHO,GEN,51.36,NAGENDRA SINGH,BJP
Lok Sabha,2014,ANDHRA PRADESH,416,KHAMMAM,GEN,82.13,PONGULETI SRINIVASA REDDY,Yuvajana Sramika Rythu Congress Party
Lok Sabha,2014,MADHYA PRADESH,529,KHANDWA,GEN,71.46,NANDKUMAR SINGH CHOUHAN,BJP
Lok Sabha,2014,MADHYA PRADESH,511,KHARGONE,ST,67.67,SUBHASH PATEL,BJP
Lok Sabha,2014,GUJARAT,547,KHEDA,GEN,59.76,CHAUHAN DEVUSINH JESINGBHAI,BJP
Lok Sabha,2014,UTTAR PRADESH,769,KHERI,GEN,64.18,AJAY KUMAR MISHRA,BJP
Lok Sabha,2014,JHARKHAND,552,KHUNTI,ST,66.28,KARIYA MUNDA,BJP
Lok Sabha,2014,BIHAR,681,KISHANGANJ,GEN,64.52,MOHAMMAD ASRARUL HAQUE,INC
Lok Sabha,2014,JHARKHAND,601,KODARMA,GEN,62.51,RAVINDRA KUMAR RAY,BJP
Lok Sabha,2014,ASSAM,702,KOKRAJHAR,ST,81.29,NABA KUMAR SARANIA,IND
Lok Sabha,2014,KARNATAKA,364,KOLAR,SC,75.51,K.H. MUNIYAPPA,INC
Lok Sabha,2014,MAHARASHTRA,394,KOLHAPUR,GEN,71.68,DHANANJAY BHIMRAO MAHADIK,NCP
Lok Sabha,2014,WEST BENGAL,518,KOLKATA DAKSHIN ,GEN,69.3,SUBRATA BAKSHI,AITC
Lok Sabha,2014,WEST BENGAL,524,KOLKATA UTTAR,GEN,66.65,SUDIP BANDYOPADHYAY,AITC
Lok Sabha,2014,KERALA,304,KOLLAM,GEN,72.09,N.K. PREMACHANDRAN,Revolutionary Socialist Party
Lok Sabha,2014,KARNATAKA,387,KOPPAL,GEN,65.57,SANGANNA A. KARADI,BJP
Lok Sabha,2014,ORISSA,458,KORAPUT,ST,76.09,JHINA HIKAKA,BJD
Lok Sabha,2014,CHHATTISGARH,574,KORBA,GEN,74.16,DR. BANSHILAL MAHATO,BJP
Lok Sabha,2014,RAJASTHAN,646,KOTA,GEN,66.2,OM BIRLA,BJP
Lok Sabha,2014,KERALA,311,KOTTAYAM,GEN,71.6,JOSE K. MANI,Kerala Congress (M)
Lok Sabha,2014,KERALA,335,KOZHIKODE,GEN,79.75,M.K. RAGHAVAN,INC
Lok Sabha,2014,TAMIL NADU,350,KRISHNAGIRI,GEN,77.42,ASHOK KUMAR. K.,AIADMK
Lok Sabha,2014,WEST BENGAL,1,KRISHNANAGAR,GEN,84.5,TAPAS PAUL,AITC
Lok Sabha,2014,ANDHRA PRADESH,384,KURNOOL,GEN,71.92,BUTTA RENUKA,Yuvajana Sramika Rythu Congress Party
Lok Sabha,2014,HARYANA,798,KURUKSHETRA,GEN,75.8,RAJKUMAR SAINI,BJP
Lok Sabha,2014,UTTAR PRADESH,724,KUSHI NAGAR,GEN,56.54,RAJESH PANDEY ALIAS GUDDU,BJP
Lok Sabha,2014,JAMMU & KASHMIR,177,LADAKH,GEN,70.78,THUPSTAN CHHEWANG,BJP
Lok Sabha,2014,ASSAM,747,LAKHIMPUR,GEN,77.71,SARBANANDA SONOWAL,BJP
Lok Sabha,2014,LAKSHADWEEP,135,LAKSHADWEEP,ST,86.61,MOHAMMED FAIZAL P.P,NCP
Lok Sabha,2014,UTTAR PRADESH,673,LALGANJ,SC,54.09,NEELAM SONKAR,BJP
Lok Sabha,2014,MAHARASHTRA,438,LATUR,SC,62.83,GAIKWAD SUNIL BALIRAM,BJP
Lok Sabha,2014,JHARKHAND,564,LOHARDAGA,ST,58.21,SUDARSHAN BHAGAT,BJP
