State,Year,BJP,JD(U),RJD,INC,IND
Bihar,1990,12,0,0,21,9
Bihar,1995,13,0,0,9,4
Bihar,2000,21,7,37,7,5
Bihar,2005,23,36,23,4,3
Bihar,2010,37,46,9,1,2
Bihar,2015,21,29,34,12,1
