Type of election,Year,State,Constituency no12,Constituency no,Constituency name,Constituency type,Turnout,Candidate name,Party/Alliance
Lok Sabha,2014,ANDHRA PRADESH,1,454,ADILABAD,ST,75.44,GOSAM NAGESH,TRS
Lok Sabha,2014,UTTAR PRADESH,426,736,AGRA,SC,58.98,DR. RAMSHANKAR KATHERIA,BJP
Lok Sabha,2014,GUJARAT,272,555,AHMEDABAD EAST,GEN,62.51,PARESH DAHYALAL RAWAL,BJP
Lok Sabha,2014,GUJARAT,273,543,AHMEDABAD WEST,SC,61.52,DR. SOLANKI KIRITBHAI PREMJIBHAI,BJP
Lok Sabha,2014,MAHARASHTRA,215,451,AHMEDNAGAR,GEN,62.87,GANDHI DILIPKUMAR MANSUKHLAL,BJP
Lok Sabha,2014,RAJASTHAN,403,707,AJMER,GEN,68.69,SANWAR LAL JAT,BJP
Lok Sabha,2014,UTTAR PRADESH,350,687,AKBARPUR,GEN,54.92,DEVENDRA SINGH ALIAS BHOLE SINGH,BJP
Lok Sabha,2014,MAHARASHTRA,63,483,AKOLA,GEN,59.43,DHOTRE SANJAY SHAMRAO,BJP
Lok Sabha,2014,KERALA,56,309,ALAPPUZHA,GEN,78.46,K.C. VENUGOPAL,INC
Lok Sabha,2014,KERALA,50,321,ALATHUR,SC,76.23,P.K. BIJU,CPI(M)
Lok Sabha,2014,UTTAR PRADESH,423,754,ALIGARH,GEN,59.36,SATISH KUMAR,BJP
Lok Sabha,2014,WEST BENGAL,358,708,ALIPURDUARS,ST,83.18,DASRATH TIRKEY,AITC
Lok Sabha,2014,UTTAR PRADESH,246,628,ALLAHABAD,GEN,53.5,SHYAMA CHARAN GUPTA,BJP
Lok Sabha,2014,UTTARAKHAND,539,804,ALMORA,SC,52.34,AJAY TAMTA,BJP
Lok Sabha,2014,RAJASTHAN,398,755,ALWAR,GEN,65.25,MAHANT CHAND NATH YOGI,BJP
Lok Sabha,2014,ANDHRA PRADESH,143,399,AMALAPURAM,SC,82.55,PANDULA RAVINDRA BABU,TDP
Lok Sabha,2014,HARYANA,376,806,AMBALA,SC,72.03,RATTAN LAL KATARIA,BJP
Lok Sabha,2014,UTTAR PRADESH,248,693,AMBEDKAR NAGAR,GEN,60.18,HARI OM PANDEY,BJP
Lok Sabha,2014,UTTAR PRADESH,240,690,AMETHI,GEN,52.38,RAHUL GANDHI,INC
Lok Sabha,2014,MAHARASHTRA,64,497,AMRAVATI,SC,62.31,ADSUL ANANDRAO VITHOBA,SHS
Lok Sabha,2014,GUJARAT,279,503,AMRELI,GEN,54.42,KACHHADIA NARANBHAI BHIKHABHAI,BJP
Lok Sabha,2014,PUNJAB,465,817,AMRITSAR,GEN,68.18,CAPTAIN AMARINDER SINGH,INC
Lok Sabha,2014,UTTAR PRADESH,518,780,AMROHA,GEN,70.96,KANWAR SINGH TANWAR,BJP
Lok Sabha,2014,ANDHRA PRADESH,22,419,ANAKAPALLE,GEN,81.92,MUTTAMSETTI SRINIVASA RAO,TDP
Lok Sabha,2014,GUJARAT,281,526,ANAND,GEN,64.86,PATEL DILIPBHAI MANIBHAI,BJP
Lok Sabha,2014,PUNJAB,469,812,ANANDPUR SAHIB,GEN,69.44,PREM SINGH CHANDUMAJRA,SAD
Lok Sabha,2014,ANDHRA PRADESH,155,377,ANANTAPUR,GEN,78.41,JUTUR CHINNA REDDY DIVAKAR REDDY,TDP
Lok Sabha,2014,JAMMU & KASHMIR,314,825,ANANTNAG,GEN,28.84,MEHBOOBA MUFTI,JKPDP
Lok Sabha,2014,ANDAMAN & NICOBAR ISLANDS,123,213,ANDAMAN & NICOBAR ISLANDS,GEN,70.66,BISHNU PADA RAY,BJP
Lok Sabha,2014,UTTAR PRADESH,520,760,AONLA,GEN,60.21,DHARMENDRA KUMAR,BJP
Lok Sabha,2014,TAMIL NADU,479,362,ARAKKONAM,GEN,77.7,HARI G.,AIADMK
Lok Sabha,2014,ANDHRA PRADESH,18,441,ARAKU,ST,71.47,KOTHAPALLI GEETHA,Yuvajana Sramika Rythu Congress Party
Lok Sabha,2014,WEST BENGAL,443,542,ARAMBAG,SC,85.11,APARUPA PODDAR ALIAS AFRIN ALI,AITC
Lok Sabha,2014,TAMIL NADU,484,349,ARANI,GEN,80.02,V. ELUMALAI,AIADMK
Lok Sabha,2014,BIHAR,304,683,ARARIA,GEN,61.47,TASLIMUDDIN,RJD
Lok Sabha,2014,BIHAR,32,640,ARRAH,GEN,48.75,RAJ KUMAR SINGH,BJP
Lok Sabha,2014,ARUNACHAL PRADESH,24,787,ARUNACHAL EAST,GEN,83.51,NINONG ERING,INC
Lok Sabha,2014,ARUNACHAL PRADESH,23,779,ARUNACHAL WEST,GEN,75.17,KIREN RIJIJU,BJP
Lok Sabha,2014,WEST BENGAL,448,569,ASANSOL,GEN,77.73,BABUL SUPRIYA BORAL (BABUL SUPRIYO),BJP
Lok Sabha,2014,ORISSA,87,457,ASKA,GEN,63.62,LADU KISHORE SWAIN,BJD
Lok Sabha,2014,KERALA,60,302,ATTINGAL,GEN,68.67,DR. A. SAMPATH,CPI(M)
Lok Sabha,2014,BIHAR,37,606,AURANGABAD,GEN,51.18,SUSHIL KUMAR SINGH,BJP
Lok Sabha,2014,MAHARASHTRA,207,606,AURANGABAD,GEN,61.84,CHANDRAKANT BHAURAO KHAIRE,SHS
Lok Sabha,2014,ASSAM,27,685,AUTONOMOUS DISTRICT,ST,77.4,BIREN SINGH ENGTI,INC
Lok Sabha,2014,UTTAR PRADESH,96,672,AZAMGARH,GEN,56.38,MULAYAM SINGH YADAV,SP
Lok Sabha,2014,UTTAR PRADESH,519,758,BADAUN,GEN,58.08,DHARMENDRA YADAV,SP
Lok Sabha,2014,KARNATAKA,292,393,BAGALKOT,GEN,68.81,P.C. GADDIGOUDAR,BJP
Lok Sabha,2014,UTTAR PRADESH,419,785,BAGHPAT,GEN,66.72,DR. SATYAPAL SINGH,BJP
Lok Sabha,2014,WEST BENGAL,435,582,BAHARAMPUR,GEN,79.42,ADHIR RANJAN CHOWDHURY,INC
Lok Sabha,2014,UTTAR PRADESH,356,756,BAHRAICH,SC,57.01,SADHVI SAVITRI BAI PHOOLE,BJP
Lok Sabha,2014,MADHYA PRADESH,196,515,BALAGHAT,GEN,68.31,BODH SINGH BHAGAT,BJP
Lok Sabha,2014,ORISSA,229,499,BALASORE,GEN,76.81,RABINDRA KUMAR JENA,BJD
Lok Sabha,2014,UTTAR PRADESH,99,650,BALLIA,GEN,53.28,BHARAT SINGH,BJP
Lok Sabha,2014,WEST BENGAL,362,632,BALURGHAT,GEN,84.74,ARPITA GHOSH,AITC
Lok Sabha,2014,GUJARAT,267,599,BANASKANTHA,GEN,58.5,CHAUDHARY HARIBHAI PARTHIBHAI,BJP
Lok Sabha,2014,UTTAR PRADESH,243,637,BANDA,GEN,53.58,BHAIRON PRASAD MISHRA,BJP
Lok Sabha,2014,KARNATAKA,138,357,BANGALORE CENTRAL,GEN,55.63,P.C. MOHAN,BJP
Lok Sabha,2014,KARNATAKA,137,160,BANGALORE NORTH,GEN,56.5,D.V. SADANANDA GOWDA,BJP
Lok Sabha,2014,KARNATAKA,136,360,BANGALORE RURAL,GEN,66.44,D.K. SURESH,INC
Lok Sabha,2014,KARNATAKA,139,352,BANGALORE SOUTH,GEN,55.69,ANANTH KUMAR,BJP
Lok Sabha,2014,WEST BENGAL,526,550,BANGAON,SC,83.32,KAPIL KRISHNA THAKUR,AITC
Lok Sabha,2014,BIHAR,312,618,BANKA,GEN,58.04,JAIPRAKASH NARAYAN YADAV,RJD
Lok Sabha,2014,WEST BENGAL,369,566,BANKURA,GEN,82.21,SREEMATI DEV VARMA (MOON MOON SEN),AITC
