"","AC_no","AC_name","AC_type","Electors","Voters","Margin","N_cand","Position","Sex1","Party1","Votes1","Cand1","RELIGION","Turnout","Margin_percent"
"10686",1,"DHANAHA","GEN",94219,41408,6717,8,1,"M","INC(I)",14535,"HARDEO PRASAD","H",0.439486727730076,0.162215030911901
"10694",2,"BAGAHA","SC",129916,55657,20586,9,1,"M","INC(I)",32516,"TRILOKI HARIJAN","H",0.428407586440469,0.369872612609375
"10703",3,"RAMNAGAR","GEN",114898,51332,24060,10,1,"M","INC(I)",32514,"ARJUN VIKRAM SHAH","H",0.446761475395568,0.468713473077223
"10713",4,"SHIKARPUR","SC",117497,57622,10195,3,1,"M","INC(I)",32715,"SITA RAM PRASAD","H",0.490412521170753,0.176928950747978
"10716",5,"SIKTA","GEN",111729,68964,11296,5,1,"M","JNP(JP)",36799,"DHARMESH PRASAD VERMA","H",0.6172435088473,0.163795603503277
"10721",6,"LAURIYA","GEN",109907,56241,17483,4,1,"M","INC(I)",31344,"VISHWAMOHAN SHARMA","H",0.511714449489113,0.310858626269092
"10725",7,"CHANPATIA","GEN",107341,48082,6168,10,1,"M","CPI",22989,"VIRBAL SHARMA","H",0.44793694860305,0.128280853541866
"10735",8,"BETTIAH","GEN",135666,73877,8956,13,1,"M","INC(I)",25360,"GAURI SHANKAR PANDEY","H",0.544550587472174,0.121228528500074
"10748",9,"NAUTAN","GEN",107224,52146,5607,11,1,"F","INC(I)",14765,"KAMLA DEVI","H",0.486327687831083,0.107525025888851
"10759",10,"RAXAUL","GEN",110538,63005,11497,7,1,"M","INC(I)",23313,"SAGIR AHMAD","M",0.569984982539941,0.182477581144354
"10766",11,"SUGAULI","GEN",118467,72208,16744,8,1,"M","CPM",29395,"RAMASHRAY SINGH","H",0.609519950703571,0.231885663638378
"10774",12,"MOTIHARI","GEN",137112,71439,1533,8,1,"F","INC(I)",25390,"PRABHAWATI GUPTA","H",0.521026605986347,0.0214588670054172
"10782",13,"ADAPUR","GEN",128345,66705,3282,12,1,"M","JNP(SC)",22693,"SHARMIM UDIN HASMI","M",0.519731972418092,0.049201709017315
"10794",14,"DHAKA","GEN",141759,97652,21953,10,1,"M","INC(I)",42572,"MOTIUR RAHMAN","M",0.688859261140386,0.224808503666080
"10804",15,"GHORASAHAN","GEN",121713,76750,7064,8,1,"M","INC(I)",28456,"RAJENDRA PRATAP SINGH","H",0.630581778446016,0.0920390879478827
"10812",16,"MADHUBAN","GEN",126784,83947,28492,11,1,"M","INC(I)",48722,"VRAJ KISHORE SINGH","H",0.662126135790005,0.339404624346314
"10823",17,"PIPRA","SC",105363,49556,14534,12,1,"M","INC(I)",26111,"NAND LAL CHAUDHARY","H",0.470335886411738,0.293284365162644
"10835",18,"KESARIA","GEN",121648,77172,1884,11,1,"M","JNP(JP)",23604,"RAI HARISHANKAR SHARMA","H",0.634387741680915,0.0244129995335096
"10846",19,"HARSIDHI","GEN",108765,64652,11085,8,1,"M","INC(I)",34623,"MD. HADAYTULLAH KHAN","M",0.594419160575553,0.171456412794654
"10854",20,"GOVINDGANJ","GEN",127841,72514,3775,7,1,"M","INC(I)",34103,"RAMASHANKAR PANDEY","H",0.567220218865622,0.0520589127616736
"10861",21,"KATEYA","GEN",123242,81433,6650,8,1,"M","INC(I)",36335,"SIHASWAR SAHI","H",0.660756884828224,0.081662225387742
"10869",22,"BHORE","SC",128983,61758,15105,6,1,"M","INC(I)",28273,"ALAGU RAM","H",0.478807284680927,0.244583697658603
"10875",23,"MIRGANJ","GEN",121111,74064,12571,8,1,"M","JNP(JP)",31168,"RAJ MANGAL MISHRA","H",0.611538175723097,0.169731583495355
"10883",24,"GOPALGANJ","GEN",123028,76882,13595,10,1,"M","IND",33447,"KALI PRASAD PANDEY","H",0.624914653574796,0.176829426913972
"10893",25,"BARAULI","GEN",118918,59760,14061,13,1,"M","INC(U)",24084,"ABDUL GHAFOOR","M",0.502531155922568,0.235291164658635
"10906",26,"BAIKUNTHPUR","GEN",120200,69514,6718,8,1,"M","JNP(JP)",19785,"BRAJ KISHORE NARAIN SINGH","H",0.578319467554077,0.096642402969186
"10914",27,"BASANTPUR","GEN",136316,90156,19377,6,1,"M","JNP(SC)",47159,"MANIK CHAND ROY","H",0.661375040347428,0.214927459070944
