"","AC_no","AC_name","AC_type","Electors","Voters","Margin","N_cand","Position","Sex1","Party1","Votes1","Cand1","RELIGION","Turnout","Margin_percent"
"36793",1,"DHANAHA","GEN",135899,63287,6102,11,1,"M","RJD",19389,"RAJESH SINGH","H",0.46569143260804,0.0964179057310348
"36804",2,"BAGAHA","SC",248630,120737,31670,12,1,"M","JD(U)",59151,"PURNAMASI RAM","H",0.48560913807666,0.262305672660411
"36816",3,"RAMNAGAR","GEN",206400,97660,250,22,1,"M","BJP",20961,"CHANDRA MOHAN RAI","H",0.473158914728682,0.00255990169977473
"36838",4,"SHIKARPUR","SC",211662,97699,11260,14,1,"M","NCP",30421,"SUBODH KUMAR","H",0.461580255312716,0.115251947307547
"36852",5,"SIKTA","GEN",193440,95532,6657,16,1,"M","SP",26161,"DILIP VERMA","H",0.493858560794045,0.0696834568521543
"36868",6,"LAURIYA","GEN",192053,95810,54,11,1,"M","JD(U)",21775,"PRADEEP SINGH","H",0.498872707013168,0.000563615488988623
"36879",7,"CHANPATIA","GEN",212618,87431,16216,19,1,"M","BJP",27642,"SATISH CHANDRA DUBEY","H",0.41121165658599,0.185471972183779
"36898",8,"BETTIAH","GEN",264754,119551,11457,14,1,"F","BJP",48559,"RENU DEVI","H",0.451555028441497,0.0958335773017373
"36912",9,"NAUTAN","GEN",206826,100094,8342,15,1,"M","JD(U)",29252,"VAIDYANATH PRASAD MAHTO","H",0.483952694535503,0.0833416588406898
"36927",10,"RAXAUL","GEN",203920,101287,2826,16,1,"M","BJP",23640,"DR. AJAY KUMAR SINGH","H",0.496699686151432,0.0279009152211044
"36943",11,"SUGAULI","GEN",224877,110691,633,17,1,"M","RJD",22281,"VIJAYPRASAD GUPTA","H",0.492229085233261,0.00571862211019866
"36960",12,"MOTIHARI","GEN",253377,121972,13337,15,1,"M","BJP",46595,"PRAMOD KUMAR","H",0.48138544540349,0.109344767651592
"36975",13,"ADAPUR","GEN",213860,107928,19663,21,1,"M","JD(U)",38025,"SHYAM BIHARI PRASAD","H",0.504666604320584,0.182186272329701
"36996",14,"DHAKA","GEN",239600,101662,11269,15,1,"M","BJP",32738,"AWANEESH KUMAR SINGH","H",0.424298831385643,0.110847711042474
"37011",15,"GHORASAHAN","GEN",199375,94135,9116,15,1,"M","RJD",26644,"LAKSHMI NARAYAN PRASAD YADAV","H",0.472150470219436,0.096839645190418
"37026",16,"MADHUBAN","GEN",213796,94887,3191,13,1,"M","RJD",39777,"RANA RANDHIR","H",0.443820277273663,0.033629475059808
"37039",17,"PIPRA","SC",190353,88289,11863,9,1,"M","BJP",37758,"KRISHNA NANDAN PASWAN","H",0.463817223789486,0.134365549502203
"37048",18,"KESARIA","GEN",207622,85101,8948,11,1,"M","JD(U)",26234,"OBAIDULLAH","M",0.409884308984597,0.105145650462392
"37059",19,"HARSIDHI","GEN",198156,95013,7964,9,1,"M","LJP",36755,"AWADHESH PRASAD KUSHWAHA","H",0.479485859625749,0.0838201088272131
"37068",20,"GOVINDGANJ","GEN",208094,89763,8378,13,1,"F","JD(U)",31325,"MINA DVIWEDI","H",0.431357944006074,0.0933346701870481
"37081",21,"KATEYA","GEN",228151,96084,17130,10,1,"M","BSP",49087,"AMRENDRA KUMAR PANDEY","H",0.421142138320674,0.178281503684276
"37091",22,"BHORE","SC",235279,88159,16835,12,1,"M","RJD",34299,"ANIL KUMAR","H",0.374699824463722,0.190961784956726
"37103",23,"MIRGANJ","GEN",220558,86656,6615,16,1,"M","JD(U)",19442,"RAMSEWAK SINGH","H",0.392894386057182,0.0763363183161004
"37119",24,"GOPALGANJ","GEN",233872,95680,3298,10,1,"M","BSP",27885,"REYAZUL HAQUE ALIAS 'RAJU'","M",0.409112677019908,0.0344690635451505
