"","AC_no","AC_name","AC_type","Electors","Voters","Margin","N_cand","Position","Sex1","Party1","Votes1","Cand1","RELIGION","Turnout","Margin_percent"
"24538",1,"DHANAHA","GEN",116747,60934,3106,16,1,"M","SAP",13206,"VISHNU PR. KUSHWAHA","H",0.521932041080285,0.0509731841008304
"24554",2,"BAGAHA","SC",202428,115473,39779,30,1,"M","JD",61201,"PURNAMASHI RAM","H",0.570439860098405,0.344487455942082
"24584",3,"RAMNAGAR","GEN",169977,93486,12683,34,1,"M","JD",25554,"RAM PRASAD YADAV","H",0.549992057748990,0.135667372654729
"24618",4,"SHIKARPUR","SC",175343,102443,13094,23,1,"M","JD",33792,"BHOLA RAM TOOFANI","H",0.584243454258225,0.12781742041916
"24641",5,"SIKTA","GEN",160863,102219,18858,18,1,"M","CVP",50867,"DEELIP VARMA","H",0.635441338281643,0.184486250110058
"24659",6,"LAURIYA","GEN",162540,95508,6396,21,1,"M","JD",38778,"RAN VIJAY SHAHI","H",0.587596899224806,0.0669682120869456
"24680",7,"CHANPATIA","GEN",163483,94147,16039,35,1,"M","CPI",31858,"BIRBAL SHARMA","H",0.575882507661347,0.170361243587156
"24715",8,"BETTIAH","GEN",225818,130853,505,28,1,"M","JD",38861,"BIRVAL YADAVA","H",0.579462221789228,0.00385929248851765
"24743",9,"NAUTAN","GEN",167736,99856,26952,15,1,"M","IND",38387,"SATAN YADAVA","H",0.595316449658988,0.269908668482615
"24758",10,"RAXAUL","GEN",166428,101937,7440,29,1,"M","JD",24255,"RAJ NANDAN RAI","H",0.612499098709352,0.0729862562170752
"24787",11,"SUGAULI","GEN",178965,110802,3940,25,1,"M","IND",22492,"CHANDRA SHEKHAR DWIWEDI","H",0.619126644874696,0.0355589249291529
"24812",12,"MOTIHARI","GEN",209493,119399,19186,34,1,"M","CPI",52684,"TRIVENI TIWARY","H",0.569942671115503,0.160688112965770
"24846",13,"ADAPUR","GEN",180648,112969,32065,34,1,"M","JD",51036,"BRAJ BIHARI PRASAD","H",0.625354280147026,0.283838929263780
"24880",14,"DHAKA","GEN",207377,115655,25164,26,1,"M","BJP",49520,"AWNISH KUMAR SINGH","H",0.557704084831008,0.217578141887510
"24906",15,"GHORASAHAN","GEN",173512,101193,19867,22,1,"M","JD",32112,"LAL BABU PRASAD","H",0.583204619853382,0.196327809235817
"24928",16,"MADHUBAN","GEN",188831,109704,28909,29,1,"M","JD",47614,"SITA RAM SINGH","H",0.58096393071053,0.263518194414060
"24957",17,"PIPRA","SC",160505,86456,34793,23,1,"M","JD",46700,"SAHDEO PASWAN","H",0.538649886296377,0.402435921162210
"24980",18,"KESARIA","GEN",188206,105037,25204,22,1,"M","CPI",52003,"YAMUNA YADAV","H",0.558095916176955,0.239953540181079
"25002",19,"HARSIDHI","GEN",171142,113308,31838,12,1,"M","JD",56262,"AWADHESH PRA. KUSH","H",0.662070093840203,0.280986338122639
"25014",20,"GOVINDGANJ","GEN",189011,103453,13855,17,1,"M","SAP",41128,"DEVENDRA NATH DUBEY","H",0.547338514689621,0.133925550733183
"25031",21,"KATEYA","GEN",196537,112560,22791,20,1,"M","JD",45896,"SINHESHWAR SHAHI","H",0.572716587716308,0.202478678038380
"25051",22,"BHORE","SC",197705,111678,18047,16,1,"M","JD",45277,"INDRADEO MANJHI","H",0.564871905111150,0.161598524328874
"25067",23,"MIRGANJ","GEN",188055,106681,21358,26,1,"M","CPM",41380,"VISHWANATH SINGH","H",0.567286166281141,0.200204347540799
"25093",24,"GOPALGANJ","GEN",196663,101666,28905,16,1,"M","JD",50407,"RAMAWTAR","H",0.516955400863406,0.284313339759605
"25109",25,"BARAULI","GEN",183782,105145,19802,18,1,"M","JD",42874,"M.NEMTULLAH","M",0.572118052910514,0.188330400874982
"25127",26,"BAIKUNTHPUR","GEN",191674,105278,7684,17,1,"M","JD",36725,"LALBABU PD. YADAV","H",0.549255506745829,0.0729877087330686
"25144",27,"BASANTPUR","GEN",178552,118903,11435,22,1,"M","JD",53662,"MANIKCHAND RAI","H",0.665929253102738,0.0961708283222459
"25166",28,"GORIYAKOTHI","GEN",159294,101028,40668,20,1,"M","JD",55640,"INDRA DEV PRASAD","H",0.634223511243361,0.40254186958071
"25186",29,"SIWAN","GEN",176112,110394,9962,24,1,"M","JD",46495,"AWADH BIHARI CHAUDHARY","H",0.626839738348324,0.0902404116165734
"25210",30,"MAIRWA","SC",147502,93848,1203,13,1,"M","CPI(ML)(L)",25206,"SATYA DEO RAM","H",0.636249000013559,0.0128186002898304
"25223",31,"DARAULI","GEN",163434,101291,13688,14,1,"M","CPI(ML)(L)",36305,"AMAR NATH YADAV","H",0.619767000746479,0.135135401960688
"25237",32,"ZIRADEI","GEN",158591,99138,14132,25,1,"M","JD",42710,"M. SAHABUDDIN","M",0.625117440460051,0.142548770400855
"25262",33,"MAHARAJGANJ","GEN",153009,94554,16809,22,1,"M","JD",38316,"BAIDYA NATH PANDE","H",0.617963649197106,0.177771432197474
"25284",34,"RAGHUNATHPUR","GEN",174240,98564,8394,24,1,"M","JD",30443,"BIKRAM KUWAR","H",0.565679522497704,0.0851629398157542
"25308",35,"MANJHI","GEN",157863,101962,17114,19,1,"M","INC",34130,"BUDHAN PRASAD YADAV","H",0.645889157053901,0.167846844903003
"25327",36,"BANIAPUR","GEN",151520,94556,1277,22,1,"M","JD",32479,"RAM BAHADUR RAI","H",0.624049630411827,0.0135052244172765
"25349",37,"MASRAKH","GEN",157525,93325,18474,21,1,"M","JD",50437,"ASHOK SINGH","H",0.592445643548643,0.197953388695419
"25370",38,"TARAIYA","GEN",148349,93466,27018,23,1,"M","JD",44859,"RAM DAS RAI","H",0.630041321478406,0.28906768236578
"25393",39,"MARHAURA","GEN",151840,98234,32791,20,1,"M","JD",51307,"YADUVANSHI RAI","H",0.64695732349842,0.333804996233483
"25413",40,"JALALPUR","GEN",176269,101863,21048,22,1,"M","CPI",39521,"ABHAY RAJ KISHORE","H",0.577883802597167,0.206630474264453
"25435",41,"CHAPRA","GEN",187425,103150,7959,16,1,"M","JD",31577,"UDIT RAI","H",0.550353474723223,0.0771594764905477
"25451",42,"GARKHA","SC",162570,97439,16426,14,1,"M","JD",42765,"MUNESHWAR CHAUDHARI","H",0.599366426770007,0.168577263723971
"25465",43,"PARSA","GEN",168796,112495,14588,12,1,"M","JD",54926,"CHANDRIKA RAY","H",0.666455366240906,0.129676874527757
