"","AC_no","AC_name","AC_type","Electors","Voters","Margin","N_cand","Position","Sex1","Party1","Votes1","Cand1","RELIGION","Turnout","Margin_percent"
"42121",1,"VALMIKI NAGAR","GEN",240418,143701,14671,14,1,"M","JD(U)",42289,"RAJESH SINGH","H",0.597713149597784,0.102093931148705
"42135",2,"RAMNAGAR","SC",216595,125257,29782,17,1,"F","BJP",51993,"BHAGIRATHI DEVI","H",0.57830051478566,0.237767150738082
"42152",3,"NARKATIAGANJ","GEN",199212,118282,20228,15,1,"M","BJP",45022,"SATISH CHANDRA DUBEY","H",0.59374937252776,0.171015031872982
"42167",4,"BAGAHA","GEN",230155,133946,49055,15,1,"M","JD(U)",67510,"PRABHAT RANJAN SINGH","H",0.581981707979405,0.366229674645006
"42182",5,"LAURIYA","GEN",190855,114779,10881,12,1,"M","IND",38381,"VINAY BIHARI","H",0.601393728222997,0.0947995713501599
"42194",6,"NAUTAN","GEN",200327,112111,22764,16,1,"F","JD(U)",40894,"MANORMA PRASAD","H",0.559639988618609,0.203048764171223
"42210",7,"CHANPATIA","GEN",198951,110958,23412,18,1,"M","BJP",44835,"CHANDRA MOHAN RAI","H",0.557715216309544,0.210998756286162
"42228",8,"BETTIAH","GEN",192145,106174,28789,18,1,"F","BJP",42010,"RENU DEVI","H",0.552572276145619,0.271149245578013
"42246",9,"SIKTA","GEN",199497,124953,8779,18,1,"M","IND",49229,"DILIP VARMA","H",0.626340245717981,0.070258417164854
"42264",10,"RAXAUL","GEN",210120,113455,10117,7,1,"M","BJP",48686,"DR. AJAY KUMAR SINGH","H",0.539953359984771,0.0891719183817373
"42271",11,"SUGAULI","GEN",204928,113367,12379,10,1,"M","BJP",39021,"RAMCHANDRA SAHANI","H",0.553204052154903,0.109194033537096
"42281",12,"NARKATIA","GEN",204398,119067,7688,17,1,"M","JD(U)",31549,"SHYAM BIHARI PRASAD","H",0.582525269327488,0.0645686882175582
"42298",13,"HARSIDHI","SC",187089,102694,18064,15,1,"M","BJP",48130,"KRISHANA NANDAN PASWAN","H",0.548904532067626,0.175901221103472
"42313",14,"GOVINDGANJ","GEN",189033,97400,8405,12,1,"F","JD(U)",33859,"MEENA DWIVEDI","H",0.515253950368454,0.08629363449692
"42325",15,"KESARIA","GEN",186077,94482,11683,11,1,"M","BJP",34649,"SACHINDRA PRASAD SINGH","H",0.50775754123293,0.123653182616795
"42336",16,"KALYANPUR","GEN",177339,96880,15402,12,1,"F","JD(U)",41163,"RAZIA KHATOON","M",0.54629833257208,0.158980181668043
"42348",17,"PIPRA_1","GEN",237739,122364,11887,22,1,"M","JD(U)",40099,"AWADHESH PRASAD KUSHWAHA","H",0.514698892482933,0.0971445850086627
"42370",18,"MADHUBAN","GEN",178725,102670,10122,10,1,"M","JD(U)",40478,"SHIVJEE RAI","H",0.574457966149112,0.0985877081912925
"42380",19,"MOTIHARI","GEN",219062,122099,24530,19,1,"M","BJP",51888,"PRAMOD KUMAR","H",0.557371885584903,0.200902546294400
"42399",20,"CHIRAIA","GEN",215434,111936,14828,13,1,"M","BJP",39459,"AVANEESH KUMAR SINGH","H",0.519583724017565,0.132468553459120
"42412",21,"DHAKA","GEN",231228,126707,1649,11,1,"M","IND",48100,"PAWAN KUMAR JAISWAL","H",0.54797429377065,0.0130142770328395
