"","AC_no","AC_name","AC_type","Electors","Voters","Margin","N_cand","Position","Sex1","Party1","Votes1","Cand1","RELIGION","Turnout","Margin_percent"
"5709",1,"DHANAHA","GEN",83825,33225,3836,5,1,"M","INC",15465,"HARDEO PRASAD","H",0.396361467342678,0.115455229495862
"5714",2,"BAGAHA","SC",108063,42203,17539,3,1,"M","INC",27216,"NARSINGH BAITHA","H",0.390540703108372,0.415586569675142
"5717",3,"RAMNAGAR","GEN",94435,45105,1283,3,1,"M","NCO",21343,"NARAIN VIKRAM SAH","H",0.477630115952772,0.0284447400509921
"5720",4,"SHIKARPUR","SC",108974,37221,8934,6,1,"M","INC",19082,"SITARAM PRASAD","H",0.34155853689871,0.240025791891674
"5726",5,"SIKTA","GEN",101801,51009,1053,6,1,"M","NCO",16824,"FAIYAZUL AZAM","M",0.501065804854569,0.0206434158677880
"5732",6,"LAURIYA","GEN",93314,38314,3075,4,1,"M","INC",15561,"PHULENA RAI","H",0.410592194097349,0.0802578691861983
"5736",7,"CHANPATIA","GEN",99792,39862,5179,4,1,"M","INC",20615,"UMESH PRASAD VERMA","H",0.399450857784191,0.129923235161306
"5740",8,"BETTIAH","GEN",100025,49919,1512,5,1,"M","INC",16646,"KRISHNA MOHAN PANDEY","H",0.499065233691577,0.0302890682906308
"5745",9,"NAUTAN","GEN",98409,40963,9256,5,1,"M","INC",23775,"KEDAR PANDEY","H",0.416252578524322,0.225960012694383
"5750",10,"RAXAUL","GEN",92357,49796,2197,5,1,"M","INC",18614,"SAGIR AHMAD","M",0.539168660740388,0.0441200096393285
"5755",11,"SUGAULI","GEN",97123,54476,2487,6,1,"M","SOP",16294,"AZIZUL HAQUE","M",0.560897006888173,0.0456531316543065
"5761",12,"MOTIHARI","GEN",101536,49843,6791,5,1,"F","INC",20674,"PRABHAVATI GUPTA","H",0.490889930664986,0.136247818148988
"5766",13,"ADAPUR","GEN",105445,55601,8541,5,1,"M","INC",25931,"RAMPRIT RAI","H",0.527298591682868,0.153612345101707
"5771",14,"GHORASAHAN","GEN",99396,56929,987,5,1,"M","INC",24039,"RAJENDRA PRATAP SINGH","H",0.572749406414745,0.0173373851639762
"5776",15,"DHAKA","GEN",111410,56760,2931,7,1,"M","INC",18619,"HAFIZ IDRISH ANSARI","M",0.509469526972444,0.0516384778012685
"5783",16,"PATAHI","GEN",98219,51483,14730,4,1,"M","SOP",26548,"THAKUR RAMAPATI SINGH","H",0.524165385516041,0.286113862828506
"5787",17,"MADHUBAN","GEN",102021,53185,10819,8,1,"F","CPI",23085,"RAJPATI DEVI","H",0.521314239225258,0.203422017486133
"5795",18,"KESARIA","GEN",97934,46677,6697,4,1,"M","CPI",23285,"PITAMBAR SINGH","H",0.476616905262728,0.143475373310196
"5799",19,"PIPRA","SC",91244,26877,10499,7,1,"M","CPI",16640,"TULSI RAM","H",0.294561834202797,0.390631394872940
"5806",20,"HARSIDHI","GEN",87118,44135,5099,3,1,"M","NCO",17919,"HIDAYTULLAH KHAN","M",0.506611722032186,0.115531890789623
"5809",21,"GOVINDGANJ","GEN",92697,48318,8823,5,1,"M","INC",23665,"RAMASHANKAR PANDEY","H",0.521246642286158,0.18260275673662
"5814",22,"GOPALGANJ","GEN",99587,47362,8619,7,1,"F","INC",19749,"RAMDULARI SINHA","H",0.475584162591503,0.181981335247667
"5821",23,"KUCHAIKOTE","GEN",99442,66702,44813,4,1,"M","INC",54296,"NAGINA RAI","H",0.670762856740613,0.671838925369554
"5825",24,"KATEYA","SC",94207,33718,10097,4,1,"M","NCO",20979,"ALGU RAM","H",0.357913955438556,0.299454297407913
"5829",25,"BHORE","GEN",100904,55426,21503,3,1,"M","INC",37419,"RAJ MANGAL MISHRA","H",0.549294378815508,0.387958719734421
"5832",26,"MIRGANJ","GEN",103982,55707,10089,5,1,"M","INC",22721,"ANANT PRASAD SINGH","H",0.53573695447289,0.181108298777532
"5837",27,"SIWAN","GEN",107362,58642,4147,7,1,"M","BJS",24694,"JANARDAN TIWARI","H",0.546208155585775,0.0707172333822175
"5844",28,"ZIRADEI","GEN",96078,56364,9491,7,1,"M","IND",24960,"SANKARNATH VIDYARTHI","H",0.586648348217074,0.168387623305656
"5851",29,"MAIRWA","SC",99734,42785,3804,5,1,"M","INC",17380,"RAM NARAYAN RAM","H",0.428991116369543,0.0889096646020802
"5856",30,"DARAULI","GEN",88278,48588,9647,4,1,"M","BJS",24924,"KRISHNA PRATAP SINGH","H",0.550397607557942,0.198546966329135
"5860",31,"RAGHUNATHPUR","GEN",101794,52854,3137,7,1,"M","NCO",23349,"SRINIWAS NARAYAN SINGH","H",0.519225101675934,0.0593521776970523
"5867",32,"MAHARAJGANJ","GEN",108772,71985,3690,4,1,"F","INC",35626,"ANUSUYA DEVI","H",0.661797153679256,0.0512606793081892
"5871",33,"BARHARIA","GEN",97921,48610,6716,7,1,"M","CPI",19653,"ABDUL JALIL","M",0.496420583940115,0.138160872248509
"5878",34,"GORIYAKOTHI","GEN",99267,70577,8280,2,1,"M","INC",38696,"MAHAMAYA PRASAD SINHA","H",0.710981494353612,0.117318673222155
"5880",35,"BAIKUNTHPUR","GEN",110129,63661,25058,5,1,"M","SOP",36959,"SABHAPATI SINGH","H",0.578058458716596,0.393616185733809
"5885",36,"BARAULI","GEN",109603,55446,10860,5,1,"M","NCO",29752,"BRAJKISHORE NARAYAN SINGH","H",0.505880313495069,0.195866248241532
"5890",37,"MANJHI","GEN",106613,65502,2739,4,1,"M","SOP",25781,"RAM BAHADUR SINGH","H",0.614390365152467,0.0418155170834478
"5894",38,"BANIAPUR","GEN",102500,64081,33779,4,1,"F","INC",43650,"UMA PANDEY","H",0.625180487804878,0.527129726439974
"5898",39,"MASRAKH","GEN",111408,81467,35553,3,1,"M","INC",55507,"RAMDEO SINGH","H",0.731249102398391,0.436409834656978
"5901",40,"TARAIYA","GEN",101024,63385,23323,7,1,"M","INC",34227,"PRABHUNATH SINGH","H",0.627425166297118,0.367957718703163
"5908",41,"MARHAURA","GEN",102776,64766,3480,6,1,"M","INC",20421,"BHISHMA PRASAD YADAV","H",0.630166575854285,0.0537318963653769
"5914",42,"JALALPUR","GEN",109401,62708,20293,6,1,"M","INC",31355,"KUMAR KALIKA SINGH","H",0.573194029305034,0.323611022517063
"5920",43,"CHAPRA","GEN",108320,70673,7068,6,1,"M","INC",30240,"JANAK YADAV","H",0.652446454948301,0.100009904772685
"5926",44,"GARKHA","SC",110140,55083,22469,5,1,"M","INC",36407,"RAGHUNANDAN MANJHI","H",0.50011803159615,0.407911696893778
"5931",45,"PARSA","GEN",103024,66477,23633,5,1,"M","INC",43410,"DAROGA PRASAD RAI","H",0.645257415747787,0.355506415752817
"5936",46,"SONEPUR","GEN",106058,74860,1276,10,1,"M","INC",34832,"RAM JAIPAL SINGH YADAV","H",0.70584020064493,0.0170451509484371
"5946",47,"HAJIPUR","GEN",110773,78737,24505,6,1,"M","SOP",42555,"MOTILAL SINHA KANAN","H",0.710795952082186,0.311225980161804
"5952",48,"RAGHOPUR_1","GEN",104138,75384,24339,7,1,"M","SOP",40565,"BABU LAL SHASTRI","H",0.723885613320786,0.322866921362623
"5959",49,"MAHNAR","GEN",114890,76083,19568,6,1,"M","SOP",41737,"MUNESHWAR PRASAD SINGH","H",0.662224736704674,0.257192802597164
"5965",50,"JANDAHA","GEN",111199,80417,2263,4,1,"M","IND",28040,"BHAGDEO SINGH","H",0.723180963857589,0.0281408159966176
"5969",51,"PATEPUR","SC",109480,45724,2469,4,1,"M","CPI",22210,"RIJHAM RAM","H",0.417647058823529,0.0539979004461552
"5973",52,"GORAUL","GEN",110568,66697,8317,7,1,"M","INC",25538,"SHAMAYLE NABI","M",0.603221546921352,0.124698262290658
"5980",53,"VAISHALI","GEN",104513,74590,9101,5,1,"M","INC",40155,"LALITESHWAR PRASAD SHAHI","H",0.713691119765005,0.122013674755329
"5985",54,"LALGANJ","GEN",109403,79215,17619,5,1,"M","INC",38900,"DEEP NARAIN SINGH","H",0.724066067658108,0.222419996212838
"5990",55,"PARU","GEN",116533,90429,73400,2,1,"M","INC",81683,"BIRENDRA KUMAR SINGH","H",0.775994782593772,0.811686516493603
"5992",56,"SAHEBGANJ","GEN",111432,65240,4701,8,1,"M","INC",21961,"SHIV CHARAN SINGH","H",0.585469165051332,0.0720570202329859
"6000",57,"BARURAJ","GEN",113900,78343,8850,4,1,"M","SOP",42215,"JAMUNA SINGH","H",0.687822651448639,0.112964783069323
"6004",58,"KANTI","GEN",101427,55654,1462,11,1,"M","INC",11593,"SHAMBHU SHARAN THAKUR","H",0.548709909590149,0.0262694505336544
"6015",59,"KURHANI","GEN",97943,63533,18948,9,1,"M","SOP",31318,"SADHU SARAN SHAHI","H",0.64867320788622,0.298238710591346
"6024",60,"SAKRA","SC",107310,50193,5926,5,1,"M","SOP",24286,"HIRA LAL PASWAN","H",0.467738328207996,0.118064271910426
"6029",61,"MUZAFFARPUR","GEN",103826,67927,10766,7,1,"M","CPI",35071,"RAMDEO SHARMA","H",0.65423882264558,0.158493677035641
"6036",62,"BOCHAHA","SC",99166,42921,733,6,1,"M","HSD",13531,"RAMAI RAM","H",0.432819716435068,0.0170778872812842
"6042",63,"GAIGHATTI","GEN",109177,70591,6544,3,1,"M","INC",37687,"NITISHWAR PRASAD SINGH","H",0.64657391208771,0.0927030357977646
"6045",64,"AURAI","GEN",115586,84287,17893,5,1,"M","INC",48329,"RAMBABU SINGH","H",0.72921461076601,0.212286592238423
"6050",65,"MINAPUR","GEN",121594,74771,7840,5,1,"M","NCO",30730,"MAHANTH RAM KISHORE DAS","H",0.614923433722059,0.104853485977184
"6055",66,"RUNISAIDPUR","GEN",114018,72331,6615,3,1,"M","NCO",38928,"TRIBENI PRASAD SINGH","H",0.634382290515533,0.091454563050421
"6058",67,"SITAMARHI","GEN",122156,67893,5989,8,1,"M","CPI",26528,"RAM SWAROOP SINGH","H",0.555789318576247,0.0882123341139735
"6066",68,"BATHNAHA","GEN",114277,69459,11051,7,1,"M","NCO",25762,"FATURI SINGH","H",0.607812595710423,0.159101052419413
"6073",69,"BELSAND","GEN",105153,63469,12130,5,1,"M","INC",30501,"RAMSURAT SINGH","H",0.603587153956616,0.191116923222361
"6078",70,"SHEOHAR","GEN",104526,67651,9420,5,1,"M","INC",36033,"RAGHUNATH JHA","H",0.647216960373496,0.139244061432943
"6083",71,"MAJORGANJ","SC",102085,49417,377,4,1,"M","INC",13888,"SURENDRA RAM","H",0.484076994661312,0.00762895359896392
"6087",72,"SONBARSA","GEN",111986,77743,13714,4,1,"M","SOP",40725,"SITARAM MAHTO","H",0.694220706159699,0.176401733918166
"6091",73,"SURSAND","GEN",109367,71072,2078,4,1,"M","INC",34140,"RAMCHARITRA RAI YADAV","H",0.649848674645917,0.0292379558757317
"6095",74,"PUPRI","GEN",121964,71997,10488,4,1,"M","INC",27544,"RAMBRIKSH CHAUDHARI","H",0.590313535141517,0.145672736364015
"6099",75,"BENIPATTI","GEN",107303,65942,7307,4,1,"M","CPI",31083,"TEJ NARAYAN JHA","H",0.614540134013029,0.110809499256923
"6103",76,"BISFI","GEN",121904,81356,7584,7,1,"M","NCO",32752,"AZIZ NURUDDIN","M",0.667377608610054,0.0932199223167314
"6110",77,"HARLAKHI","GEN",102647,66391,2260,5,1,"M","INC",31979,"SHAKOOR AHMAD","M",0.64678948240085,0.0340407585365486
"6115",78,"KHAJAULI","GEN",97378,68604,1197,6,1,"M","INC",25505,"MAHENDRA NARAYAN JHA","H",0.704512312842737,0.0174479622179465
"6121",79,"JAINAGAR","SC",97792,43877,1186,4,1,"M","INC",20040,"RAMFAL PASWAN","H",0.448676783376963,0.0270301068897144
