"","AC_no","AC_name","AC_type","Electors","Voters","Margin","N_cand","Position","Sex1","Party1","Votes1","Cand1","RELIGION","Turnout","Margin_percent"
"3555",1,"DHANAHA","GEN",72091,38503,2162,4,1,"M","PSP",17672,"YOGENDRA PRASAD SRIVASTAVA","H",0.534088859913165,0.0561514687167234
"3559",2,"BAGAHA","SC",84536,32774,7713,5,1,"M","INC",16715,"NARSINGH BAITHA","H",0.387692817261285,0.235338988222371
"3564",3,"RAMNAGAR","GEN",80906,44866,4533,6,1,"M","INC",19350,"NARAIN VIKRAM SAH","H",0.554544780362396,0.101034190701199
"3570",4,"SHIKARPUR","SC",89913,33698,4214,5,1,"M","BJS",14579,"SITARAM PRASAD","H",0.374784513919011,0.125051931865393
"3575",5,"SIKTA","GEN",88457,52487,2685,4,1,"M","INC",22909,"RAUFUL AZAM","M",0.593361746385249,0.0511555242250462
"3579",6,"LAURIYA","GEN",82038,37158,6642,6,1,"M","SWA",16648,"SHATRUMARDAN SHAHI","H",0.452936444086887,0.178750201840788
"3585",7,"CHANPATIA","GEN",85976,34934,3383,8,1,"M","SSP",11655,"VEER SINGH","H",0.406322694705499,0.0968397549665083
"3593",8,"BETTIAH","GEN",86256,44750,7781,6,1,"M","INC",23975,"GAURI SHANKAR PANDEY","H",0.518804488963087,0.173877094972067
"3599",9,"NAUTAN","GEN",81572,33666,4051,5,1,"M","INC",13648,"KEDAR PANDEY","H",0.412715147354484,0.120329115428028
"3604",10,"RAXAUL","GEN",80811,42035,6505,7,1,"M","INC",20599,"RADHA PANDEY","H",0.520164334063432,0.154751992387296
"3611",11,"SUGAULI","GEN",82778,42290,1871,5,1,"M","INC",13098,"BADRI NARAIN JHA","H",0.510884534538162,0.0442421376211870
"3616",12,"MOTIHARI","GEN",83645,38186,4315,6,1,"M","INC",14604,"RAM SEWAK PRASAD JAISWAL","H",0.456524598003467,0.112999528623056
"3622",13,"ADAPUR","GEN",91480,45961,3251,5,1,"M","INC",18170," PREMCHAND","H",0.502415828596415,0.0707338830747808
"3627",14,"GHORASAHAN","GEN",81492,44723,4767,5,1,"M","INC",20369,"RAJENDRA PRATAP SINGH","H",0.548802336425661,0.106589450618250
"3632",15,"DHAKA","GEN",87734,49329,3368,5,1,"M","INC",20592,"MASUDDUR RAHMAN","M",0.562256365833086,0.068276267509984
"3637",16,"PATAHI","GEN",85804,49232,862,7,1,"M","INC",19266,"RAMNANDAN SINGH","H",0.573772784485572,0.0175089372765681
"3644",17,"MADHUBAN","GEN",89218,43454,11399,5,1,"M","CPI",22443,"MAHENDRA BHARATI","H",0.487054181891547,0.262323376444056
"3649",18,"KESARIA","GEN",83696,41700,2536,4,1,"M","INC",18028,"MOHAMMAD AZAZ HUSAIN KHAN","M",0.498231695660486,0.0608153477218225
"3653",19,"PIPRA","SC",76526,21672,2305,7,1,"M","INC",9715,"BIGU RAM","H",0.283197867391475,0.106358434846807
"3660",20,"HARSIDHI","GEN",74542,35665,2337,8,1,"M","INC",10334,"NAGESHWAR DATT PATHAK","H",0.478455099138741,0.0655264264685266
"3668",21,"GOVINDGANJ","GEN",80863,37522,66,5,1,"M","BJS",12680,"HARISHANKAR SHARMA","H",0.464019390821513,0.00175896807206439
"3673",22,"GOPALGANJ","GEN",87980,42911,6635,6,1,"F","INC",15197,"RAMDULARI SINHA","H",0.487735849056604,0.154622357903568
"3679",23,"KUCHAIKOTE","GEN",84126,48614,10676,5,1,"M","JAP",27467,"NAGINA RAI","H",0.577871288305637,0.219607520467355
"3684",24,"KATEYA","SC",87405,27826,11732,5,1,"M","INC",16352,"NATHUNI RAM CHAMAR","H",0.318357073393971,0.421620067562711
"3689",25,"BHORE","GEN",92229,46279,11044,6,1,"M","INC",22416,"RAJ MANGAL MISHRA","H",0.50178360385562,0.238639555738024
"3695",26,"MIRGANJ","GEN",86443,35475,8161,6,1,"M","INC",16971,"ANANT PRASAD SINGH","H",0.410386034728087,0.230049330514447
"3701",27,"SIWAN","GEN",98946,54926,7335,6,1,"M","BJS",25711,"JANARDAN TIWARI","H",0.555110868554565,0.133543312820886
"3707",28,"ZIRADEI","GEN",91437,49805,3466,4,1,"M","INC",20445,"ZAWAR HUSSAIN","M",0.544691973708674,0.0695914064852926
