"","AC_no","AC_name","AC_type","Electors","Voters","Margin","N_cand","Position","Sex1","Party1","Votes1","Cand1","RELIGION","Turnout","Margin_percent"
"17925",1,"DHANAHA","GEN",112321,71679,5424,13,1,"M","INC",18893,"SHYAM N. PRASAD","H",0.638162053400522,0.0756706985309505
"17938",2,"BAGAHA","SC",175691,82495,44513,12,1,"M","JD",56207,"PURANMASI RAM","H",0.469545964221275,0.539584217225286
"17950",3,"RAMNAGAR","GEN",148299,81141,30962,13,1,"M","BJP",45281,"CHANDER MOHAN RAI","H",0.547144619990695,0.381582677068313
"17963",4,"SHIKARPUR","SC",151960,72508,16356,9,1,"M","JD",41817,"BHOLA RAM TOOFANI","H",0.47715188207423,0.225575108953495
"17972",5,"SIKTA","GEN",144888,84358,6947,22,1,"M","IND",23883,"FAIYAJUL AZAM","M",0.582229032079951,0.082351407098319
"17994",6,"LAURIYA","GEN",140934,77322,9254,11,1,"M","JD",40199,"RAN VIJAY SHAHI","H",0.548639788837328,0.119681332609089
"18005",7,"CHANPATIA","GEN",138351,70426,3063,15,1,"M","JD",20921,"KRISHNA KUMAR MISHRA","H",0.509038604708314,0.0434924601709596
"18020",8,"BETTIAH","GEN",183062,106883,6739,28,1,"M","BJP",42968,"MADAN PRASAD JAISWAL","H",0.58386229801925,0.0630502512092662
"18048",9,"NAUTAN","GEN",140400,69424,9166,14,1,"M","CPI",25009,"RAWAKANT DWIVEDI","H",0.494472934472934,0.132029269416916
"18062",10,"RAXAUL","GEN",144171,94631,13272,7,1,"M","JD",43211,"RAJNANDAN RAI","H",0.656380270650824,0.140250023776564
"18069",11,"SUGAULI","GEN",151450,96554,2411,25,1,"M","CPM",20900,"RAMASHRAY SINGH","H",0.637530538131396,0.0249704828386188
"18094",12,"MOTIHARI","GEN",184783,92444,1085,33,1,"M","CPI",26280,"TRIVENI TIWARI","H",0.500284117045399,0.0117368352732465
"18127",13,"ADAPUR","GEN",160466,107531,29228,13,1,"M","JD",53282,"BRAJ BIHARI PRASAD","H",0.670117034138073,0.271809989677395
"18140",14,"DHAKA","GEN",184520,145414,44598,11,1,"M","BJP",92676,"AVANISH KUMAR SINGH","H",0.788066334272708,0.306696741716754
"18151",15,"GHORASAHAN","GEN",155092,99442,41553,14,1,"M","JD",59646,"LAL BABU PRASAD","H",0.641180718541253,0.417861668108043
"18165",16,"MADHUBAN","GEN",160387,116295,41963,12,1,"M","JD",66093,"SITA RAM SINGH","H",0.725089938710743,0.360832365965863
"18177",17,"PIPRA","SC",133686,80132,15207,7,1,"M","JD",34800,"SAHDEV PASWAN","H",0.599404574899391,0.189774372285729
"18184",18,"KESARIA","GEN",157676,98878,19766,14,1,"M","CPI",40216,"YAMUNA YADAV","H",0.627096070422893,0.199902910657578
"18198",19,"HARSIDHI","GEN",142849,83515,1803,13,1,"M","INC",27831,"MOHD. HEDAYATULLAH KHAN","M",0.58463832438449,0.02158893611926
"18211",20,"GOVINDGANJ","GEN",159242,101943,8514,16,1,"M","JD",40473,"YOGENDRA PANDEY","H",0.640176586578918,0.0835172596450958
"18227",21,"KATEYA","GEN",167181,124991,7405,15,1,"M","INC",54422,"BACHCHA CHUBE","H",0.747638786704231,0.0592442655871223
"18242",22,"BHORE","SC",165511,116260,10540,11,1,"M","JD",58289,"INDER DEV MAJHI","H",0.702430654155917,0.090658868054361
"18253",23,"MIRGANJ","GEN",151718,107263,1231,30,1,"M","IND",22332,"PRABHU DAYAL SINGH","H",0.706989282748257,0.0114764643912626
"18283",24,"GOPALGANJ","GEN",158912,99914,54956,11,1,"M","JD",72908,"SURENDRA SINGH","H",0.628737917841321,0.550033028404428
"18294",25,"BARAULI","GEN",150297,100449,811,25,1,"M","IND",23652,"DHRUV NATH CHAUDHARY","H",0.668336693347173,0.00807374886758455
"18319",26,"BAIKUNTHPUR","GEN",154235,125083,30188,11,1,"M","INC",65930,"BRAJ KISHOR NARAYAN SINGH","H",0.81098972347392,0.241343747751493
"18330",27,"BASANTPUR","GEN",189216,107051,9348,20,1,"M","INC",43481,"MANIK CHANDER RAI","H",0.565760823608997,0.0873228648027576
"18350",28,"GORIYAKOTHI","GEN",160675,97548,3442,24,1,"M","JD",26423,"AJIT KUMAR SINGH","H",0.607113738913957,0.0352851929306598
"18374",29,"SIWAN","GEN",185465,104519,17855,23,1,"M","JD",47518,"AVADH BIHARI CHAUDHARY","H",0.563551074326692,0.170830183985687
"18397",30,"MAIRWA","SC",144133,68483,12076,21,1,"M","INC",23834,"GORAKH RAM","H",0.475137546571569,0.176335732955624
"18418",31,"DARAULI","GEN",157326,97108,7730,15,1,"M","JD",33072,"SHIV SHANKAR YADAV","H",0.617240634097352,0.0796020925155497
"18433",32,"ZIRADEI","GEN",146305,94276,378,19,1,"M","IND",23215,"S.M. MASHABUDDIN","M",0.644379891322921,0.00400950400950401
"18452",33,"MAHARAJGANJ","GEN",173267,112054,32725,10,1,"M","JD",69730,"UMA SHANKER SINGH","H",0.646712876658567,0.292046691773609
"18462",34,"RAGHUNATHPUR","GEN",180475,102493,3281,19,1,"M","INC",38242,"VIJAY SHANKER DUBE","H",0.567906912314725,0.0320119422789849
"18481",35,"MANJHI","GEN",177201,106413,16248,22,1,"M","JD",50365,"HAZARI SINGH","H",0.600521441752586,0.152688111414959
"18503",36,"BANIAPUR","GEN",158026,80123,598,22,1,"M","JNP(JP)",24191,"RAM BAHADUR RAI","H",0.50702416058117,0.007463524830573
"18525",37,"MASRAKH","GEN",159054,98354,59038,18,1,"M","JD",71536,"PRABHU NATH SINGH","H",0.618368604373357,0.600260284279236
"18543",38,"TARAIYA","GEN",153327,102296,8753,9,1,"M","JD",38694,"RAJEO PRATAP SINGH","H",0.667175383331051,0.085565418002659
"18552",39,"MARHAURA","GEN",161576,114254,6991,11,1,"M","IND",33711,"SURENDRA SHARMA","H",0.707122344902708,0.0611882297337511
"18563",40,"JALALPUR","GEN",175346,85630,759,23,1,"F","INC",23428,"NIRMALA SINGH","H",0.488348750470498,0.0088637159873876
"18586",41,"CHAPRA","GEN",202507,134203,19063,14,1,"M","IND",65355,"UDIT ROY","H",0.662707955774368,0.142046004932826
"18600",42,"GARKHA","SC",153311,93475,7290,11,1,"M","IND",36684,"MUNESHWAR CHAUDHRY","H",0.609708370567017,0.0779887670500134
"18611",43,"PARSA","GEN",165844,115820,26835,15,1,"M","IND",51602,"CHANDRIKA ROY","H",0.698367140204047,0.231695734760836
"18626",44,"SONEPUR","GEN",155071,118133,3644,35,1,"M","JD",46208,"RAJ KUMAR ROY","H",0.76179943380774,0.0308465881675738
"18661",45,"HAJIPUR","GEN",175138,110371,13240,23,1,"M","INC",30818,"JAGANNATH PD. RAI","H",0.630194475213831,0.119959047213489
"18684",46,"RAGHOPUR_1","GEN",168068,134618,2350,23,1,"M","JD",50632,"UDAI NARAYAN RAI","H",0.800973415522289,0.0174568036963853
"18707",47,"MAHNAR","GEN",166225,119919,1729,33,1,"M","SOP(L)",32370,"MUNESHWAR PD. SINGH","H",0.721425778312528,0.0144180655275644
"18740",48,"JANDAHA","GEN",168314,132738,16320,42,1,"M","JD",46478,"TULSIDAS MEHTA","H",0.788633149945934,0.122948967138272
"18782",49,"PATEPUR","SC",151220,105424,57318,13,1,"M","JD",78899,"RAMSUNDAR DAS","H",0.69715646078561,0.543690241311276
"18795",50,"MAHUA","SC",151208,104007,32659,26,1,"M","JD",62459,"MUNSILAL PASWAN","H",0.68784059044495,0.314007711019451
"18821",51,"LALGANJ","GEN",152219,112599,3810,29,1,"M","JD",40353,"KEDAR NATH PRASAD","H",0.73971711809958,0.0338368902032878
"18850",52,"VAISHALI","GEN",157076,122337,3294,13,1,"M","JD",59392,"BRISHAN PATEL","H",0.778839542641778,0.0269256234826749
