"State","Year","","AC_no","AC_name","AC_type","Electors","Voters","Margin","N_cand","Position","Sex1","Party1","Votes1","Cand1","RELIGION","Turnout","Margin_percent" 
"Bihar","1962","347",82,"KHAJAULI","GEN",75006,36026,3054,5,1,"M","INC",13154,"SHAKOOR AHMAD","M",0.480308242007306,0.0847721090323655  
"Bihar","1962","352",83,"MADHUBANI WEST","GEN",70786,34695,8163,6,1,"M","INC",14953,"SAFIQULLAH ANSARI","M",0.490139293080553,0.235278858625162  
"Bihar","1962","358",84,"MADHUBANI EAST","GEN",84010,39323,2522,6,1,"M","PSP",14906,"SURAJ NARAIN SINGH","H",0.468075229139388,0.0641354932227958  
"Bihar","1962","364",85,"JHANJHARPUR","GEN",70794,32245,5073,6,1,"M","INC",13709,"HARISHCHANDRA JHA","H",0.455476452806735,0.157326717320515  
"Bihar","1962","370",86,"LAUKAHA","GEN",57318,28854,30,4,1,"M","PSP",7601,"DEONARAIN GURMAITA","H",0.503402072647336,0.00103971719692244  
"Bihar","1962","374",87,"PHULPARAS","GEN",67683,32570,728,3,1,"M","INC",11729,"RASIK LAL YADAV","H",0.481213894183177,0.0223518575376113  
"Bihar","1962","377",88,"MADHEPUR","GEN",77069,40682,3436,5,1,"M","INC",15444,"PREMCHANDRA MISHRA","H",0.527864640776447,0.0844599577208593  
"Bihar","1962","382",89,"BIRAUL","GEN",71564,24393,2546,5,1,"M","SWA",10854,"CHANDRASHEKHAR JHA","H",0.340855737521659,0.104374205714754  
"Bihar","1962","387",90,"BAHERA EAST","GEN",77694,32430,1746,3,1,"M","INC",13818,"MAHESH KANT SHARMA","H",0.41740674955595,0.0538390379278446  
"Bihar","1962","390",91,"BAHERA WEST","GEN",73839,38317,12952,3,1,"M","INC",23873,"HARINATH MISHRA","H",0.518926312653205,0.338022287757392  
"Bihar","1962","393",92,"BAHERA SOUTH","GEN",68024,20152,373,4,1,"F","INC",6676,"KRISHNA DEVI","H",0.296248382923674,0.0185093290988488  
"Bihar","1962","397",93,"DARBHANGA CENTRAL","GEN",89410,45697,12017,4,1,"M","INC",22565,"RAMESHWAR PRASAD SINHA","H",0.511094955821496,0.262971311026982  
"Bihar","1962","401",94,"DARBHANGA NORTH","GEN",71565,23006,2187,4,1,"M","INC",10349,"SHEIKH SAYEEDUL HAQUE","M",0.321469992314679,0.0950621576979918  
"Bihar","1962","405",95,"DARBHANGA WEST","SC",83888,25860,5687,3,1,"F","INC",13303,"SHYAM KUMARI","H",0.308268167079916,0.219914926527456  
"Bihar","1962","408",96,"DARBHANGA EAST","GEN",91452,36421,10499,4,1,"M","INC",18312,"RAMSEWAK THAKUR","H",0.398252635262214,0.288267757612367  
"Bihar","1962","412",97,"WARISNAGAR WEST","GEN",66782,39526,2923,5,1,"F","INC",16910,"RAM SUKUMARI DEVI","H",0.591866071695966,0.0739513231796792  
"Bihar","1962","417",98,"WARISNAGAR EAST","GEN",81876,51574,10111,5,1,"M","PSP",22356,"BASISTHA NARAIN SINGH","H",0.629903756900679,0.196048396478846  
"Bihar","1962","422",99,"SAMASTIPUR EAST","GEN",62832,30223,11397,5,1,"M","INC",15917,"SAHDEO MAHTO","H",0.48101285968933,0.377096912947093  
"Bihar","1962","427",100,"SAMASTIPUR WEST","GEN",59876,29954,3682,5,1,"M","INC",12988,"TEJ NARAIN ISHWAR","H",0.5002672189191,0.122921813447286  
