"State","Year","","AC_no","AC_name","AC_type","Electors","Voters","Margin","N_cand","Position","Sex1","Party1","Votes1","Cand1","RELIGION","Turnout","Margin_percent" 
"Bihar","1962","725",166,"BELHAR","GEN",92107,40392,13699,4,1,"M","INC",21025,"RAGHVENDRA NARAIN SINGH","H",0.438533444797898,0.339151317092494  
"Bihar","1962","729",167,"KATORIA","ST",50153,15597,389,3,1,"M","SWA",6386,"KAMPA MURMU","H",0.310988375570753,0.0249406937231519  
"Bihar","1962","732",168,"CHAKAI","ST",47335,14768,2404,4,1,"M","SOC",6944,"LAKHAN MURMU","H",0.311989014471321,0.162784398699892  
"Bihar","1962","736",169,"JHAJHA","GEN",59971,29407,4784,4,1,"M","SOC",15676,"SHRI KRISHNA SINGH","H",0.490353670940955,0.162682354541436  
"Bihar","1962","740",170,"JAMUI","SC",58590,26212,4342,4,1,"M","INC",12056,"GURU RAMDAS","H",0.447380098993002,0.165649320921715  
"Bihar","1962","744",171,"SIKANDRA","GEN",72337,33593,4695,3,1,"M","INC",14453,"MUSHTAQUE AHMED SHAH","M",0.464395814037076,0.139761259786265  
"Bihar","1962","747",172,"SHEIKHPURA","GEN",64605,33217,6369,5,1,"M","INC",16513,"SHIVSHANKAR SINGH","H",0.514155251141552,0.191739169702261  
"Bihar","1962","752",173,"BARBIGHA","SC",78581,34735,13162,5,1,"F","INC",21368,"LEELA DEVI","H",0.442027971138061,0.378926155174896  
"Bihar","1962","757",174,"BURHEE","GEN",64080,41257,4596,4,1,"M","PSP",18407,"KAPILDEO SINGH","H",0.643835830212235,0.11139927769833  
"Bihar","1962","761",175,"SURYAGARHA","GEN",67110,40795,6217,4,1,"M","INC",15307,"RAJESHWARI PRASAD SINGH","H",0.607882580837431,0.152396126976345  
"Bihar","1962","765",176,"TARAPUR","GEN",63237,36612,8607,4,1,"M","INC",20201,"JAYAMANGAL SINGH","H",0.578964846529722,0.235086856768273  
"Bihar","1962","769",177,"KHARAGPUR","GEN",64274,38625,7170,3,1,"M","INC",20862,"NANDKUMAR SINGH","H",0.600942838472788,0.185631067961165  
"Bihar","1962","772",178,"MONGHYR","GEN",72893,41178,3966,4,1,"M","INC",19538,"RAM GOVIND SINGH VERMA","H",0.56491021085701,0.0963135654961387  
"Bihar","1962","776",179,"JAMALPUR","GEN",55857,34717,3389,5,1,"M","INC",12018,"YOGENDRA MAHTO","H",0.621533558909358,0.097617881729412  
"Bihar","1962","781",180,"PARBATTA","GEN",77126,44568,4735,3,1,"F","INC",21809,"LAKSHMI DEVI","H",0.577859606358426,0.106242146831808  
"Bihar","1962","784",181,"CHAUTHAM","GEN",69168,38116,5551,3,1,"M","INC",18689,"GHANSHYAM SINGH","H",0.551064075873236,0.145634379263301  
"Bihar","1962","787",182,"BAKHTIARPUR_1","GEN",74141,40226,7495,3,1,"M","INC",20329,"MOHAMMAD SALAUDDIN CHAUDHRY","M",0.542560796320524,0.186322279122955  
"Bihar","1962","790",183,"ALAULI","SC",74436,27493,14443,4,1,"M","INC",18752,"MISHRI SADA","H",0.369350851738406,0.525333721310879  
"Bihar","1962","794",184,"KHAGARIA","GEN",80818,46603,5975,5,1,"M","INC",15992,"KEDAR NARAYAN SINGH AZAD","H",0.576641342275236,0.128210630216939  
"Bihar","1962","799",185,"BALIA","GEN",68253,36069,13243,9,1,"F","INC",17438,"PREMA DEVI","H",0.528460287459892,0.367157392774959  
"Bihar","1962","808",186,"BEGUSARAI","GEN",75098,42370,14186,5,1,"M","INC",24433,"RAM NARAIN CHOUDHARY","H",0.56419611707369,0.334812367240972  
"Bihar","1962","813",187,"BAKHRI","SC",58930,30035,3569,3,1,"M","INC",15414,"MEDANI PASWAN","H",0.509672492788054,0.118828033960380  
"Bihar","1962","816",188,"BARIARPUR","GEN",65382,35520,9784,4,1,"M","INC",19105,"HARIHAR MAHTO","H",0.543268789575112,0.275450450450450  
"Bihar","1962","820",189,"TEGHRA","GEN",64083,35382,3992,5,1,"M","CPI",16773,"CHANDRASHEKHAR SINGH","H",0.552127709376902,0.112825730597479  
"Bihar","1962","825",190,"BACHHWARA","GEN",72994,37499,8849,5,1,"F","INC",16638,"GIRISH KUMARI SINGH","H",0.513727155656629,0.235979626123363  
"Bihar","1962","830",191,"BARH","GEN",61445,35428,2185,5,1,"M","INC",15865,"RANA SHIVALAKHPATI SINGH","H",0.576580681910652,0.0616743818448685  
"Bihar","1962","835",192,"MOKAMA","GEN",63477,35680,999,5,1,"M","IND",16404,"SARYOO NANDAN PRASAD SINGH","H",0.562093356648865,0.0279988789237668  
"Bihar","1962","840",193,"ASTHAWAN","GEN",70227,42901,3409,3,1,"M","PSP",21749,"KAUSHLENDRA PD. NARAYAN SINGH","H",0.610890398279864,0.0794620172023962  
"Bihar","1962","843",194,"BIHAR NORTH","GEN",79574,42055,5361,6,1,"M","INC",19324,"SYED WASIUDDIN AHMED","M",0.528501771935557,0.127475924384734  
"Bihar","1962","849",195,"BIHAR SOUTH","GEN",70541,33093,1967,9,1,"M","INC",12337,"GIRWARDHARI SINGH","H",0.46913142711331,0.0594385519596289  
"Bihar","1962","858",196,"RAJGIR","SC",74137,33557,7272,3,1,"M","INC",18091,"BALDEO PRASAD","H",0.452634986578901,0.216705903388265  
"Bihar","1962","861",197,"ISLAMPUR","GEN",86805,39986,5898,5,1,"M","SWA",19391,"SHYAM SUNDAR PRASAD","H",0.460641668106676,0.147501625568949  
"Bihar","1962","866",198,"CHANDI","GEN",67688,34566,1749,10,1,"M","PSP",10890,"RAM RAJ PRASAD SINGH","H",0.510666587873774,0.0505988543655615  
"Bihar","1962","876",199,"HILSA","GEN",74963,44848,7783,7,1,"M","JS",23526,"JAGDISH PRASAD","H",0.598268479116364,0.173541740991795  
"Bihar","1962","883",200,"BAKHTIARPUR_2","GEN",67052,37421,1328,8,1,"M","INC",15846,"RAMYATAN SINGH","H",0.558089244168705,0.0354880949199647  
"Bihar","1962","891",201,"FATWAH","SC",66075,30036,1267,5,1,"M","INC",13704,"KAULESHWAR DAS","H",0.454574347332577,0.0421827140764416  
"Bihar","1962","896",202,"MASAURHI","SC",59044,22863,7729,3,1,"F","INC",14140,"SARASWATI CHAUDHARY","H",0.387219700562293,0.338057122862267  
"Bihar","1962","899",203,"PUNPUN","GEN",60069,30227,8633,6,1,"M","INC",17390,"NAWAL KISHORE SINGH","H",0.503204647988147,0.285605584411288  
"Bihar","1962","905",204,"NAUBATPUR","GEN",70436,43196,301,6,1,"M","INC",16723,"DASU SINGH","H",0.613265943551593,0.00696823779979628  
"Bihar","1962","911",205,"PATNA SOUTH","GEN",76228,44733,1969,6,1,"M","INC",17009,"BADRINATH VERMA","H",0.586831610431862,0.0440167214360763  
"Bihar","1962","917",206,"PATNA EAST","GEN",73960,40876,3381,7,1,"F","INC",13739,"ZAHRA AHMAD","M",0.552677122769064,0.0827135727566298  
"Bihar","1962","924",207,"PATNA WEST","GEN",64540,38893,22288,5,1,"M","INC",27925,"KRISHNA BALLABH SAHAY","H",0.602618531143477,0.573059419432803  
"Bihar","1962","929",208,"DINAPUR","GEN",57740,34756,5741,4,1,"M","SOC",18228,"RAM SEWAK SINGH","H",0.601939729823346,0.165180112786282  
"Bihar","1962","933",209,"MANER","GEN",57552,30499,4576,10,1,"M","INC",9687,"BUDHADEO SINGH","H",0.529938142896858,0.1500377061543  
"Bihar","1962","943",210,"BIKRAM","GEN",82749,45058,10009,8,1,"F","INC",18238,"MANORAMA DEVI","H",0.544514133101306,0.222135913711217  
"Bihar","1962","951",211,"PALIGANJ","GEN",75175,51009,7417,4,1,"M","INC",27494,"RAM LAKHAN SINGH YADAV","H",0.678536747588959,0.145405712717364  
"Bihar","1962","955",212,"SANDESH","GEN",59368,32779,9757,4,1,"M","INC",17581,"JHAMAN PRASAD","H",0.552132461932354,0.297660087250984  
"Bihar","1962","959",213,"ARRAH","GEN",70726,33593,5064,8,1,"F","INC",15823,"SUMITRA DEVI","H",0.474973842716964,0.150745691066591  
"Bihar","1962","967",214,"ARRAH MUFFASIL","GEN",66746,32242,8080,5,1,"M","INC",15836,"AMBIKA SINGH","H",0.483055164354418,0.250604801190993  
"Bihar","1962","972",215,"SHAHPUR","GEN",80315,42385,7646,5,1,"M","PSP",21974,"RAMA NAND TIWARI","H",0.527734545228164,0.180394007313908  
