Type of election,Year,State,Constituency no,Constituency name,Constituency type,Position,Candidate name,Party/Alliance,Vote percent
Lok Sabha,2014,RAJASTHAN,784,BIKANER,SC,2,ER. SHANKAR PANNU,INC,30
Lok Sabha,2014,CHHATTISGARH,527,BILASPUR,GEN,2,KARUNA SHUKLA,INC,36
Lok Sabha,2014,WEST BENGAL,592,BIRBHUM,GEN,4,SIRAJ SYED,INC,10
Lok Sabha,2014,WEST BENGAL,558,BISHNUPUR,SC,4,NARAYAN CHANDRA KHAN,INC,2
Lok Sabha,2014,ORISSA,479,BOLANGIR,GEN,3,SARAT PATTNAYAK,INC,24
Lok Sabha,2014,WEST BENGAL,581,BOLPUR,SC,4,TAPAN KUMAR SAHA,INC,4
Lok Sabha,2014,KERALA,317,CHALAKUDY,GEN,2,P C CHACKO,INC,39
Lok Sabha,2014,KARNATAKA,345,CHAMARAJANAGAR,SC,1,R. DHRUVANARAYANA,INC,50
Lok Sabha,2014,UTTAR PRADESH,631,CHANDAULI,GEN,4,TARUNENDRA CHAND PATEL,INC,3
Lok Sabha,2014,CHANDIGARH,805,CHANDIGARH,GEN,2,PAWAN KUMAR BANSAL,INC,27
Lok Sabha,2014,NATIONAL CAPITAL TERRITORY OF DELHI,771,CHANDNI CHOWK,GEN,3,KAPIL SIBAL,INC,18
Lok Sabha,2014,MAHARASHTRA,468,CHANDRAPUR,GEN,2,DEOTALE SANJAY WAMANRAO,INC,24
Lok Sabha,2014,JHARKHAND,590,CHATRA,GEN,2,DHIRAJ PRASAD SAHU,INC,17
Lok Sabha,2014,TAMIL NADU,358,CHENNAI CENTRAL,GEN,4,C.D. MEYYAPPAN,INC,3
Lok Sabha,2014,TAMIL NADU,361,CHENNAI NORTH,GEN,4,BIJU CHACKO,INC,3
Lok Sabha,2014,TAMIL NADU,354,CHENNAI SOUTH,GEN,4,S.V. RAMANI,INC,2
Lok Sabha,2014,ANDHRA PRADESH,413,CHEVELLA,GEN,2,PATOLLA KARTIK REDDY,INC,28
Lok Sabha,2014,MADHYA PRADESH,533,CHHINDWARA,GEN,1,KAMAL NATH,INC,51
Lok Sabha,2014,GUJARAT,520,CHHOTA UDAIPUR,ST,2,NARANBHAI JEMLABHAI RATHWA,INC,39
Lok Sabha,2014,TAMIL NADU,334,CHIDAMBARAM,SC,4,VALLAL PERUMAN,INC,3
Lok Sabha,2014,KARNATAKA,369,CHIKKBALLAPUR,GEN,1,M. VEERAPPA MOILY,INC,34
Lok Sabha,2014,KARNATAKA,398,CHIKKODI,GEN,1,PRAKASH HUKKERI,INC,44
Lok Sabha,2014,KARNATAKA,375,CHITRADURGA,SC,1,B.N. CHANDRAPPA,INC,43
Lok Sabha,2014,ANDHRA PRADESH,366,CHITTOOR,SC,3,B RAJAGOPAL,INC,1
Lok Sabha,2014,RAJASTHAN,116,CHITTORGARH,GEN,2,DR. GIRIJA VYAS,INC,33
Lok Sabha,2014,RAJASTHAN,786,CHURU,GEN,3,PRATAP SINGH,INC,16
Lok Sabha,2014,TAMIL NADU,328,COIMBATORE,GEN,4,"PRABHU, R.",INC,5
Lok Sabha,2014,WEST BENGAL,680,COOCHBEHAR,SC,4,KESHAB CHANDRA RAY,INC,6
Lok Sabha,2014,TAMIL NADU,175,CUDDALORE,GEN,4,ALAGIRI.S,INC,3
Lok Sabha,2014,ORISSA,471,CUTTACK,GEN,2,APARAJITA MOHANTY,INC,22
Lok Sabha,2014,DADRA & NAGAR HAVELI,465,DADRA & NAGAR HAVELI,ST,2,DELKAR MOHANBHAI SANJIBHAI,INC,45
Lok Sabha,2014,GUJARAT,556,DAHOD,ST,2,TAVIYAD DR. PRABHABEN KISHORSINH,INC,31
Lok Sabha,2014,KARNATAKA,359,DAKSHINA KANNADA,GEN,2,JANARDHANA POOJARY,INC,41
Lok Sabha,2014,DAMAN & DIU,170,DAMAN & DIU,GEN,2,PATEL KETANBHAI DAHAYABHAI,INC,43
Lok Sabha,2014,MADHYA PRADESH,600,DAMOH,GEN,2,MAHENDRA PRATAP SINGH,INC,33
Lok Sabha,2014,WEST BENGAL,720,DARJEELING,GEN,4,SUJAY GHATAK,INC,8
Lok Sabha,2014,RAJASTHAN,733,DAUSA,ST,3,NAMONARAYAN,INC,19
Lok Sabha,2014,KARNATAKA,374,DAVANAGERE,GEN,2,S. S. MALLIKARJUN,INC,45
Lok Sabha,2014,UTTAR PRADESH,701,DEORIA,GEN,4,SABHA KUNWAR,INC,4
Lok Sabha,2014,MADHYA PRADESH,575,DEWAS,SC,2,SAJJAN SINGH VERMA,INC,35
Lok Sabha,2014,JHARKHAND,576,DHANBAD,GEN,2,AJAY KUMAR DUBEY,INC,22
Lok Sabha,2014,MADHYA PRADESH,545,DHAR,ST,2,UMANG SINGHAR,INC,42
Lok Sabha,2014,TAMIL NADU,346,DHARMAPURI,GEN,4,RAMA SUGANTHAN,INC,1
Lok Sabha,2014,KARNATAKA,381,DHARWAD,GEN,2,VINAY KULKARNI,INC,41
Lok Sabha,2014,UTTAR PRADESH,753,DHAURAHRA,GEN,4,KUNWAR JITIN PRASAD,INC,16
Lok Sabha,2014,ORISSA,494,DHENKANAL,GEN,3,SUDHIR KUMAR SAMAL,INC,21
Lok Sabha,2014,ASSAM,670,DHUBRI,GEN,2,WAZED ALI CHOUDHURY,INC,26
Lok Sabha,2014,MAHARASHTRA,486,DHULE,GEN,2,AMRISHBHAI RASIKLAL PATEL,INC,41
Lok Sabha,2014,WEST BENGAL,517,DIAMOND HARBOUR,GEN,4,MD. QAMRUZZAMAN QAMAR,INC,5
Lok Sabha,2014,ASSAM,737,DIBRUGARH,GEN,2,PABAN SINGH GHATOWAR,INC,35
Lok Sabha,2014,TAMIL NADU,320,DINDIGUL,GEN,4,CHITTHAN N.S.V,INC,3
Lok Sabha,2014,UTTAR PRADESH,730,DOMARIYAGANJ,GEN,5,VASUNDHARA,INC,9
Lok Sabha,2014,WEST BENGAL,531,DUM DUM,GEN,4,DHANANJOY MOITRA,INC,3
Lok Sabha,2014,CHHATTISGARH,500,DURG,GEN,1,TAMRADWAJ SAHU,INC,46
