Type of election,Year,State,Constituency no,Constituency name,Constituency type,Position,Candidate name,Party/Alliance,Vote percent
Lok Sabha,2014,BIHAR,683,ARARIA,GEN,2,PRADEEP KUMAR SINGH,BJP,27
Lok Sabha,2014,BIHAR,681,KISHANGANJ,GEN,2,DR DILIP KUMAR JAISWAL,BJP,32
Lok Sabha,2014,BIHAR,647,KATIHAR,GEN,2,NIKHIL KUMAR CHOUDHARY,BJP,32
Lok Sabha,2014,BIHAR,654,PURNIA,GEN,2,UDAY SINGH URF PAPPU SINGH,BJP,30
Lok Sabha,2014,BIHAR,659,MADHEPURA,GEN,3,VIJAY KUMAR SINGH,BJP,24
Lok Sabha,2014,BIHAR,642,BEGUSARAI,GEN,1,BHOLA SINGH,BJP,40
Lok Sabha,2014,BIHAR,625,BHAGALPUR,GEN,2,SYED SHAHNAWAZ HUSSAIN,BJP,37
Lok Sabha,2014,BIHAR,618,BANKA,GEN,2,PUTUL KUMARI,BJP,31
Lok Sabha,2014,BIHAR,633,PATNA SAHIB,GEN,1,SHATRUGHAN SINHA,BJP,55
Lok Sabha,2014,BIHAR,638,PATALIPUTRA,GEN,1,RAM KRIPAL YADAV,BJP,39
Lok Sabha,2014,CHANDIGARH,805,CHANDIGARH,GEN,1,KIRRON KHER,BJP,42
Lok Sabha,2014,CHHATTISGARH,579,SURGUJA,ST,1,KAMALBHAN SINGH MARABI,BJP,49
Lok Sabha,2014,CHHATTISGARH,549,RAIGARH,ST,1,VISHNU DEO SAI,BJP,53
Lok Sabha,2014,CHHATTISGARH,509,JANJGIR-CHAMPA,SC,1,KAMLA PATLE,BJP,48
Lok Sabha,2014,CHHATTISGARH,574,KORBA,GEN,1,DR. BANSHILAL MAHATO,BJP,42
Lok Sabha,2014,CHHATTISGARH,527,BILASPUR,GEN,1,LAKHANLAL SAHU S/O KALYAN LAL SAHU,BJP,52
Lok Sabha,2014,CHHATTISGARH,513,RAJNANDGAON,GEN,1,ABHISHEK SINGH,BJP,55
Lok Sabha,2014,CHHATTISGARH,500,DURG,GEN,2,SUSHREE SAROJ PANDEY,BJP,44
Lok Sabha,2014,CHHATTISGARH,498,RAIPUR,GEN,1,RAMESH BAIS,BJP,53
Lok Sabha,2014,CHHATTISGARH,490,MAHASAMUND,GEN,1,CHANDU LAL SAHU ALIAS CHANDU BHAIYA S/O LATE PUNEEN RAM,BJP,46
